ORF,FOP,instability index
YHR035W,0.47,45.59
YHR036W,0.46,59.21
YHR037W,0.52,39.29
YHR038W,0.46,33.63
YHR039C,0.56,36.15
YHR040W,0.44,47.59
YHR041C,0.47,27.06
YHR042W,0.62,33.64
YHR043C,0.44,17.95
YHR044C,0.47,14.42
YHR045W,0.43,31.78
YHR046C,0.47,25.02
YHR047C,0.57,36.7
YHR048W,0.43,37.09
YHR049W,0.71,31.81
YHR050W,0.46,38.69
YHR051W,0.58,52.17
YHR052W,0.56,36.98
YHR053C,0.52,46.75
YHR054C,0.47,37.86
YHR055C,0.52,46.75
YHR056C,0.46,42.17
YHR057C,0.49,9.16
YHR058C,0.5,46.79
YHR059W,0.48,42.42
YHR060W,0.51,62.66
YHR061C,0.46,50.91
YHR062C,0.42,42.09
YHR063C,0.53,42.69
YHR064C,0.76,28.33
YHR065C,0.54,32.36
YHR066W,0.52,49.59
YHR067W,0.44,50.66
YHR068W,0.71,33.42
YHR069C,0.5,40.76
YHR070W,0.51,43.76
YHR071W,0.45,43.11
YHR072W,0.49,39.43
YHR073W,0.46,46.31
YHR074W,0.51,46.15
YHR075C,0.42,31.44
YHR076W,0.52,31.11
YHR077C,0.44,46.12
YHR078W,0.43,40.53
YHR079C,0.41,46.96
YHR080C,0.43,46.58
YHR081W,0.4,44.04
YHR082C,0.47,44.5
YHR083W,0.51,37.58
YHR084W,0.45,58.48
YHR085W,0.43,31.39
YHR086W,0.46,32.22
YHR087W,0.66,22.16
YHR088W,0.52,47.0
YHR089C,0.63,34.25
YHR090C,0.51,64.15
YHR091C,0.42,37.57
YHR092C,0.8,40.67
YHR093W,0.44,32.76
YHR094C,0.74,34.91
YHR095W,0.41,47.27
YHR096C,0.59,39.12
YHR097C,0.45,52.35
YHR098C,0.51,42.15
YHR099W,0.46,43.47
YHR100C,0.5,29.72
YHR101C,0.46,44.56
YHR102W,0.44,43.8
YHR103W,0.45,49.31
YHR104W,0.56,32.07
YHR105W,0.42,50.4
YHR106W,0.5,40.81
YHR107C,0.56,45.67
YHR108W,0.56,45.58
YHR109W,0.42,50.46
YHR110W,0.47,28.06
YHR111W,0.45,37.19
YHR112C,0.55,43.24
YHR113W,0.54,37.87
YHR114W,0.48,38.31
YHR115C,0.52,33.17
YHR116W,0.47,57.89
YHR117W,0.52,43.61
YHR118C,0.44,58.1
YHR119W,0.46,54.66
YHR120W,0.42,38.56
YHR121W,0.53,25.97
YHR122W,0.48,52.27
YHR123W,0.45,42.7
YHR124W,0.41,56.74
YHR125W,0.4,48.94
YHR126C,0.49,28.21
YHR127W,0.46,28.11
YHR128W,0.72,33.49
YHR129C,0.39,34.88
YHR130C,0.36,28.11
YHR131C,0.43,69.45
YHR132C,0.5,33.45
YHR133C,0.51,32.74
YHR134W,0.45,37.39
YHR135C,0.53,58.12
YHR136C,0.43,69.03
YHR137W,0.5,40.25
YHR138C,0.49,30.19
YHR139C,0.57,44.66
YHR140W,0.45,38.06
YHR141C,0.93,35.92
YHR142W,0.47,22.87
YHR143W-A,0.7,32.2
YHR143W,0.56,60.28
YHR144C,0.42,38.39
YHR145C,0.4,72.58
YHR146W,0.53,53.94
YHR147C,0.46,36.13
YHR148W,0.5,40.54
YHR149C,0.42,65.08
YHR150W,0.39,47.4
YHR151C,0.44,42.73
YHR152W,0.42,55.63
YHR153C,0.41,34.27
YHR154W,0.42,37.99
YHR155W,0.45,41.99
YHR156C,0.4,47.68
YHR157W,0.33,62.44
YHR158C,0.46,42.36
YHR159W,0.39,63.53
YHR160C,0.43,45.95
YHR161C,0.47,47.51
YHR162W,0.56,37.48
YHR163W,0.53,36.01
YHR164C,0.43,48.0
YHR165C,0.47,40.98
YHR166C,0.43,45.32
YHR167W,0.41,40.38
YHR168W,0.44,38.34
YHR169W,0.51,38.68
YHR170W,0.59,37.04
YHR171W,0.43,37.28
YHR172W,0.46,41.72
YHR173C,0.35,28.04
YHR174W,0.96,29.45
YHR175W,0.44,40.51
YHR176W,0.49,48.73
YHR177W,0.42,64.58
YHR178W,0.46,45.76
YHR179W,0.74,30.21
YHR180W,0.46,43.93
YHR181W,0.46,39.84
YHR182W,0.44,42.8
YHR183W,0.85,33.36
YHR184W,0.43,54.54
YHR185C,0.42,52.39
YHR186C,0.44,45.58
YHR187W,0.43,47.69
YHR188C,0.49,40.21
YHR189W,0.39,66.69
YHR190W,0.65,42.8
YHR191C,0.35,38.59
YHR192W,0.44,37.3
YHR193C,0.83,35.71
YHR194W,0.46,40.36
YHR195W,0.47,43.22
YHR196W,0.47,40.04
YHR197W,0.5,44.59
YHR198C,0.42,26.31
YHR199C,0.47,37.67
YHR200W,0.47,50.06
YHR201C,0.48,38.16
YHR202W,0.45,46.95
YHR203C,0.88,23.54
YHR204W,0.44,44.01
YHR205W,0.49,33.67
YHR206W,0.49,44.55
YHR207C,0.45,29.84
YHR208W,0.69,31.78
YHR209W,0.41,40.06
YHR210C,0.5,21.46
YHR211W,0.63,36.7
YHR212C,0.43,69.83
YHR213W,0.61,37.47
YHR214W,0.69,20.72
YHR215W,0.68,27.61
YHR216W,0.67,31.78
YHR217C,0.6,43.11
YHR218W,0.42,39.0
YHR219W,0.49,37.34
YIL001W,0.42,34.86
YIL002C,0.4,39.01
YIL003W,0.43,42.45
YIL004C,0.37,37.26
YIL005W,0.45,37.6
YIL006W,0.43,37.89
YIL007C,0.45,38.88
YIL008W,0.53,31.13
YIL009W,0.57,33.38
YIL010W,0.46,46.06
YIL011W,0.81,54.28
YIL012W,0.41,28.11
YIL013C,0.53,41.29
YIL014W,0.46,38.05
YIL015W,0.44,41.28
YIL016W,0.51,40.56
YIL017C,0.4,43.08
YIL018W,0.93,22.74
YIL019W,0.49,46.76
YIL020C,0.48,23.15
YIL021W,0.49,33.61
YIL022W,0.53,46.03
YIL023C,0.41,35.29
YIL024C,0.44,29.88
YIL025C,0.44,48.24
YIL026C,0.48,41.12
YIL027C,0.39,20.78
YIL028W,0.42,33.25
YIL029C,0.41,32.08
YIL030C,0.5,38.14
YIL031W,0.44,57.41
YIL032C,0.35,62.1
YIL033C,0.58,51.85
YIL034C,0.5,58.72
YIL035C,0.48,33.95
YIL036W,0.48,44.56
YIL037C,0.41,31.53
YIL038C,0.47,51.67
YIL039W,0.54,30.05
YIL040W,0.59,30.17
YIL041W,0.63,45.13
YIL042C,0.47,43.68
YIL043C,0.58,34.35
YIL044C,0.47,36.72
YIL045W,0.44,40.76
YIL046W,0.46,38.97
YIL047C,0.52,45.27
YIL048W,0.47,38.7
YIL049W,0.4,40.71
YIL050W,0.46,44.85
YIL051C,0.68,41.41
YIL052C,0.95,49.37
YIL053W,0.85,26.83
YIL054W,0.42,33.67
YIL055C,0.43,55.9
YIL056W,0.49,59.66
YIL057C,0.51,27.97
YIL058W,0.53,31.69
YIL059C,0.41,38.75
YIL060W,0.47,63.01
YIL061C,0.53,43.58
YIL062C,0.48,42.3
YIL063C,0.49,38.88
YIL064W,0.46,23.95
YIL065C,0.47,47.86
YIL066C,0.64,46.41
YIL067C,0.41,33.7
YIL068C,0.45,35.05
YIL069C,0.91,17.98
YIL070C,0.55,50.6
YIL071C,0.37,42.18
YIL072W,0.43,42.56
YIL073C,0.41,46.92
YIL074C,0.59,43.07
YIL075C,0.52,33.28
YIL076W,0.54,34.17
YIL077C,0.46,47.13
YIL078W,0.7,42.38
YIL079C,0.4,51.75
YIL082W,0.54,58.66
YIL083C,0.5,36.19
YIL084C,0.51,48.77
YIL085C,0.49,43.81
YIL086C,0.47,26.44
YIL087C,0.47,40.28
YIL088C,0.44,30.29
YIL089W,0.41,26.83
YIL090W,0.46,32.57
YIL091C,0.49,42.13
YIL092W,0.4,48.13
YIL093C,0.51,45.84
YIL094C,0.69,30.44
YIL095W,0.45,49.04
YIL096C,0.41,36.91
YIL097W,0.42,34.6
YIL098C,0.49,29.54
YIL099W,0.47,41.23
YIL100W,0.41,24.83
YIL101C,0.51,50.3
YIL102C,0.44,24.97
YIL103W,0.52,42.86
YIL104C,0.46,46.19
YIL105C,0.44,49.78
YIL106W,0.42,49.26
YIL107C,0.46,43.99
YIL108W,0.5,37.71
YIL109C,0.58,55.83
YIL110W,0.48,46.8
YIL111W,0.42,27.64
YIL112W,0.45,52.55
YIL113W,0.43,54.46
YIL114C,0.48,41.18
YIL115C,0.46,48.34
YIL116W,0.56,27.09
YIL117C,0.42,51.7
YIL118W,0.52,42.78
YIL119C,0.44,48.53
YIL120W,0.43,37.86
YIL121W,0.46,43.42
YIL122W,0.35,71.12
YIL123W,0.72,35.0
YIL124W,0.52,37.38
YIL125W,0.57,36.97
YIL126W,0.51,40.61
YIL127C,0.4,50.32
YIL128W,0.46,35.78
YIL129C,0.44,43.85
YIL130W,0.46,49.19
YIL131C,0.48,47.17
YIL132C,0.44,46.29
YIL133C,0.83,36.44
YIL134W,0.46,24.68
YIL135C,0.46,70.52
YIL136W,0.53,43.17
YIL137C,0.5,40.89
YIL138C,0.57,52.08
YIL139C,0.47,48.08
YIL140W,0.49,45.98
YIL141W,0.43,43.64
YIL142W,0.56,34.81
YIL143C,0.52,45.03
YIL144W,0.45,47.09
YIL145C,0.48,34.52
YIL146C,0.45,46.29
YIL147C,0.45,43.64
YIL148W,0.9,32.52
YIL149C,0.47,49.87
YIL150C,0.43,48.23
YIL151C,0.45,40.9
YIL152W,0.4,76.66
YIL153W,0.45,49.93
YIL154C,0.5,48.72
YIL155C,0.58,33.03
YIL156W,0.44,52.93
YIL157C,0.6,34.9
YIL158W,0.45,42.81
YIL159W,0.44,48.85
YIL160C,0.51,34.24
YIL161W,0.47,48.25
YIL162W,0.65,26.21
YIL163C,0.45,38.17
YIL164C,0.49,34.96
YIL165C,0.5,32.9
YIL166C,0.47,36.94
YIL167W,,
YIL169C,0.69,43.57
YIL170W,0.56,34.36
YIL171W,0.55,32.48
YIL172C,0.61,31.72
YIL173W,0.47,33.52
YIL174W,0.39,62.05
YIL175W,0.47,52.74
YIL176C,0.89,21.84
YIL177C,0.46,36.72
YIR001C,0.49,58.39
YIR002C,0.47,39.18
YIR003W,0.48,68.14
YIR004W,0.47,36.36
YIR005W,0.4,48.31
YIR006C,0.5,62.6
YIR007W,0.43,41.33
YIR008C,0.47,43.06
YIR009W,0.42,11.75
YIR010W,0.42,59.8
YIR011C,0.43,56.7
YIR012W,0.5,36.64
YIR013C,0.53,42.12
YIR014W,0.36,36.64
YIR015W,0.41,23.98
YIR016W,0.43,69.11
YIR017C,0.42,51.52
YIR018W,0.47,56.21
YIR019C,0.7,73.9
YIR020C,0.37,35.69
YIR021W,0.45,35.59
YIR022W,0.52,31.06
YIR023W,0.44,52.39
YIR024C,0.42,26.27
YIR025W,0.36,47.49
YIR026C,0.51,41.43
YIR027C,0.48,38.33
YIR028W,0.52,33.95
YIR029W,0.5,34.5
YIR030C,0.42,39.18
YIR031C,0.55,35.64
YIR032C,0.44,25.82
YIR033W,0.46,51.06
YIR034C,0.57,34.47
YIR035C,0.62,23.93
YIR036C,0.5,32.92
YIR037W,0.57,30.63
YIR038C,0.58,47.94
YIR039C,0.44,34.1
YIR040C,0.4,55.72
YIR041W,0.88,26.6
YIR042C,0.44,29.65
YIR043C,,
YKL001C,0.63,45.26
YKL002W,0.46,41.08
YKL003C,0.44,34.26
YKL004W,0.46,46.06
YKL005C,0.44,53.36
YKL006W,0.89,20.09
YKL007W,0.52,45.83
YKL008C,0.54,40.6
YKL009W,0.62,42.4
YKL010C,0.45,40.91
YKL011C,0.41,39.53
YKL012W,0.45,40.6
YKL013C,0.51,64.81
YKL014C,0.48,39.41
YKL015W,0.46,43.49
YKL016C,0.57,52.63
YKL017C,0.5,40.2
YKL018W,0.46,26.06
YKL019W,0.5,51.42
YKL020C,0.49,41.33
YKL021C,0.51,34.43
YKL022C,0.42,38.36
YKL023W,0.43,70.22
YKL024C,0.58,43.37
YKL025C,0.47,38.13
YKL026C,0.48,41.17
YKL027W,0.48,30.88
YKL028W,0.52,57.78
YKL029C,0.64,41.2
YKL030W,0.37,52.46
YKL031W,0.48,48.56
YKL032C,0.56,70.67
YKL033W,0.42,43.22
YKL034W,0.44,47.68
YKL035W,0.67,30.8
YKL036C,0.41,52.0
YKL037W,0.41,35.57
YKL038W,0.44,48.59
YKL039W,0.48,35.64
YKL040C,0.52,46.03
YKL041W,0.49,40.21
YKL042W,0.47,55.93
YKL043W,0.49,51.91
YKL044W,0.45,53.05
YKL045W,0.46,44.88
YKL046C,0.56,22.5
YKL047W,0.44,43.35
YKL048C,0.4,49.08
YKL049C,0.46,72.79
YKL050C,0.47,52.94
YKL051W,0.49,41.35
YKL052C,0.39,55.73
YKL053W,0.46,65.92
YKL054C,0.61,79.31
YKL055C,0.5,53.07
YKL056C,0.88,21.82
YKL057C,0.45,40.98
YKL058W,0.4,28.79
YKL059C,0.5,48.47
YKL060C,0.95,31.89
YKL061W,0.41,52.47
YKL062W,0.48,52.2
YKL063C,0.47,50.51
YKL064W,0.46,70.57
YKL065C,0.52,46.71
YKL066W,0.34,33.69
YKL067W,0.56,30.61
YKL068W,0.41,29.15
YKL069W,0.53,30.69
YKL070W,0.41,40.54
YKL071W,0.48,38.77
YKL072W,0.43,40.35
YKL073W,0.48,42.31
YKL074C,0.47,38.56
YKL075C,0.48,37.68
YKL076C,0.43,34.81
YKL077W,0.53,32.93
YKL078W,0.48,41.75
YKL079W,0.43,53.96
YKL080W,0.58,29.35
YKL081W,0.79,35.61
YKL082C,0.5,56.88
YKL083W,0.39,55.45
YKL084W,0.48,64.31
YKL085W,0.69,32.79
YKL086W,0.39,63.97
YKL087C,0.44,37.35
YKL088W,0.44,53.62
YKL089W,0.45,51.36
YKL090W,0.41,43.09
YKL091C,0.54,52.57
YKL092C,0.44,41.73
YKL093W,0.43,56.27
YKL094W,0.48,22.47
YKL095W,0.45,35.99
YKL096W,0.64,41.9
YKL097C,0.29,61.89
YKL098W,0.4,49.13
YKL099C,0.49,45.48
YKL100C,0.49,35.65
YKL101W,0.43,54.69
YKL102C,0.38,48.74
YKL103C,0.55,28.54
YKL104C,0.6,38.38
YKL105C,0.41,54.17
YKL106W,0.47,35.81
YKL107W,0.45,39.84
YKL108W,0.46,63.35
YKL109W,0.51,53.34
YKL110C,0.49,37.71
YKL111C,0.39,35.65
YKL112W,0.47,39.19
YKL113C,0.51,40.16
YKL114C,0.45,27.21
YKL115C,0.43,33.11
YKL116C,0.41,49.02
YKL117W,0.59,51.19
YKL118W,0.45,66.43
YKL119C,0.46,30.72
YKL120W,0.54,36.05
YKL121W,0.43,40.47
YKL122C,0.46,24.69
YKL123W,0.31,44.17
YKL124W,0.45,36.9
YKL125W,0.45,42.28
YKL126W,0.47,38.24
YKL127W,0.54,32.04
YKL128C,0.48,45.48
YKL129C,0.47,35.88
YKL130C,0.48,46.81
YKL131W,0.45,34.51
YKL132C,0.44,39.23
YKL133C,0.45,41.13
YKL134C,0.43,34.63
YKL135C,0.45,41.24
YKL136W,0.36,63.88
YKL137W,0.39,43.76
YKL138C,0.54,35.25
YKL139W,0.42,42.93
YKL140W,0.49,39.73
YKL141W,0.6,35.33
YKL142W,0.53,45.43
YKL143W,0.47,50.59
YKL144C,0.47,32.26
YKL145W,0.57,37.25
YKL146W,0.45,41.85
YKL147C,0.38,51.1
YKL148C,0.62,38.26
YKL149C,0.44,46.24
YKL150W,0.59,29.81
YKL151C,0.48,29.91
YKL152C,0.93,33.94
YKL153W,0.6,56.39
YKL154W,0.47,38.3
YKL155C,0.44,40.23
YKL156W,0.7,47.25
YKL157W,0.55,30.21
YKL159C,0.46,51.64
YKL160W,0.4,40.71
YKL161C,0.44,48.08
YKL162C,0.4,53.07
YKL163W,0.74,29.73
YKL164C,0.82,29.06
YKL165C,0.48,44.04
YKL166C,0.51,34.18
YKL167C,0.47,54.33
YKL168C,0.42,62.2
YKL169C,0.44,31.96
YKL170W,0.5,21.06
YKL171W,0.43,57.28
YKL172W,0.6,63.06
YKL173W,0.44,40.68
YKL174C,0.43,35.9
YKL175W,0.46,49.4
YKL176C,0.44,51.03
YKL177W,0.45,49.93
YKL178C,0.45,42.37
YKL179C,0.44,43.88
YKL180W,0.94,42.64
YKL181W,0.62,41.42
YKL182W,0.69,32.89
YKL183W,0.49,41.02
YKL184W,0.51,29.13
YKL185W,0.42,64.47
YKL186C,0.46,19.29
YKL187C,0.47,32.93
YKL188C,0.42,43.24
YKL189W,0.48,49.35
YKL190W,0.48,25.1
YKL191W,0.48,37.87
YKL192C,0.59,54.98
YKL193C,0.51,37.37
YKL194C,0.51,41.76
YKL195W,0.51,60.47
YKL196C,0.51,46.61
YKL197C,0.44,33.41
YKL198C,0.49,44.74
YKL201C,0.53,51.14
YKL202W,0.4,96.77
YKL203C,0.48,45.44
YKL204W,0.46,57.2
YKL205W,0.46,40.18
YKL206C,0.41,44.03
YKL207W,0.48,37.05
YKL208W,0.46,47.48
YKL209C,0.45,35.05
YKL210W,0.55,25.31
YKL211C,0.55,41.63
YKL212W,0.56,25.79
YKL213C,0.44,30.47
YKL214C,0.48,46.98
YKL215C,0.46,31.87
YKL216W,0.57,23.41
YKL217W,0.52,39.82
YKL218C,0.41,31.43
YKL219W,0.44,40.51
YKL220C,0.44,30.05
YKL221W,0.42,32.2
YKL222C,0.43,50.1
YKL223W,0.39,56.84
YKL224C,0.87,26.97
YKL225W,0.39,50.91
YKR001C,0.6,41.13
YKR002W,0.49,43.98
YKR003W,0.46,58.75
YKR004C,0.4,48.71
YKR005C,0.47,40.7
YKR006C,0.52,53.11
YKR007W,0.45,49.03
YKR008W,0.47,38.97
YKR009C,0.48,30.94
YKR010C,0.41,49.09
YKR011C,0.5,43.51
YKR012C,0.42,23.03
YKR013W,0.62,30.06
YKR014C,0.55,40.26
YKR015C,0.46,48.33
YKR016W,0.47,41.71
YKR017C,0.46,46.47
YKR018C,0.49,41.95
YKR019C,0.43,49.6
YKR020W,0.52,53.91
YKR021W,0.42,46.92
YKR022C,0.43,44.85
YKR023W,0.45,44.24
YKR024C,0.49,39.67
YKR025W,0.47,47.87
YKR026C,0.46,41.09
YKR027W,0.43,49.08
YKR028W,0.44,40.14
YKR029C,0.4,47.19
YKR030W,0.4,34.88
YKR031C,0.46,41.41
YKR032W,0.43,38.33
YKR033C,0.42,48.37
YKR034W,0.46,37.59
YKR035C,0.45,41.35
YKR036C,0.42,33.75
YKR037C,0.49,53.45
YKR038C,0.47,26.64
YKR039W,0.66,27.79
YKR040C,0.5,46.1
YKR041W,0.5,56.88
YKR042W,0.83,32.4
YKR043C,0.59,38.86
YKR044W,0.4,41.9
YKR045C,0.42,64.06
YKR046C,0.65,37.76
YKR047W,0.35,83.12
YKR048C,0.55,53.97
YKR049C,0.49,47.02
YKR050W,0.49,49.98
YKR051W,0.4,37.3
YKR052C,0.47,32.02
YKR053C,0.45,34.74
YKR054C,0.44,40.76
YKR055W,0.41,45.76
YKR056W,0.51,34.43
YKR057W,0.82,17.3
YKR058W,0.45,43.25
YKR059W,0.89,46.7
YKR060W,0.5,38.53
YKR061W,0.44,54.0
YKR062W,0.54,34.83
YKR063C,0.39,45.34
YKR064W,0.42,44.57
YKR065C,0.55,46.95
YKR066C,0.57,29.17
YKR067W,0.53,41.62
YKR068C,0.43,40.79
YKR069W,0.44,37.69
YKR070W,0.48,27.15
YKR071C,0.5,38.8
YKR072C,0.5,48.75
YKR073C,0.38,60.96
YKR074W,0.5,37.28
YKR075C,0.48,56.72
YKR076W,0.56,30.87
YKR077W,0.44,58.87
YKR078W,0.44,47.5
YKR079C,0.47,31.42
YKR080W,0.55,34.25
YKR081C,0.55,37.87
YKR082W,0.45,32.66
YKR083C,0.37,49.79
YKR084C,0.48,34.19
YKR085C,0.5,60.58
YKR086W,0.45,38.92
YKR087C,0.41,46.08
YKR088C,0.49,39.69
YKR089C,0.44,48.34
YKR090W,0.47,53.84
YKR091W,0.4,59.66
YKR092C,0.56,110.8
YKR093W,0.63,38.73
YKR094C,0.9,32.52
YKR095W,0.49,54.27
YKR096W,0.45,49.19
YKR097W,0.67,43.18
YKR098C,0.42,43.3
YKR099W,0.41,45.43
YKR100C,0.41,53.62
YKR101W,0.39,42.01
YKR102W,0.52,58.43
YKR103W,0.46,37.87
YKR104W,0.42,41.03
YKR105C,0.48,32.62
YKR106W,0.46,38.83
YAL065C,0.5,21.77
YAR030C,0.4,68.84
YFL068W,0.45,53.18
YFL067W,0.53,27.71
YFL066C,0.42,35.56
YFL065C,0.41,32.36
YFL064C,0.46,35.32
YFL063W,0.41,57.63
YFL062W,0.45,38.96
YFL061W,0.47,35.35
YFL060C,0.47,34.68
YFL059W,0.6,36.68
YFL058W,0.82,34.89
YFL056C,,
YFL055W,0.47,34.77
YFL054C,0.45,39.19
YFL053W,0.52,31.4
YFL052W,0.41,40.07
YFL051C,0.44,44.87
YFL050C,0.43,40.72
YFL049W,0.48,31.95
YFL048C,0.5,25.04
YFL047W,0.46,37.01
YFL046W,0.42,41.27
YFL045C,0.78,41.02
YFL044C,0.57,39.22
YFL042C,0.46,47.99
YFL041W,0.48,36.56
YFL040W,0.41,36.22
YFL039C,0.89,39.88
YFL038C,0.6,30.83
YFL037W,0.65,33.43
YFL036W,0.49,42.08
YFL034C-B,0.43,47.82
YFL034W,0.48,55.93
YFL033C,0.44,47.32
YFL032W,0.45,56.32
YFL031W,0.45,50.66
YFL030W,0.49,34.83
YFL029C,0.47,37.68
YFL028C,0.48,26.98
YFL027C,0.44,45.48
YFL026W,0.46,37.6
YFL025C,0.44,42.54
YFL024C,0.48,56.06
YFL023W,0.43,53.33
YFL022C,0.68,29.41
YFL021W,0.48,45.04
YFL020C,0.81,18.01
YFL019C,0.49,37.41
YFL018C,0.63,32.57
YFL017C,0.48,34.92
YFL016C,0.53,34.6
YFL015C,0.45,57.14
YFL014W,0.88,26.53
YFL013C,0.46,48.9
YFL012W,0.38,69.65
YFL011W,0.55,30.58
YFL010C,0.49,54.83
YFL009W,0.45,37.7
YFL008W,0.49,43.87
YFL007W,0.46,38.63
YFL005W,0.56,23.49
YFL004W,0.51,43.05
YFL003C,0.4,40.77
YFL002C,0.45,36.32
YFL001W,0.48,49.29
YFR001W,0.55,51.71
YFR002W,0.47,45.02
YFR003C,0.44,95.55
YFR004W,0.56,38.85
YFR005C,0.4,39.95
YFR006W,0.53,38.62
YFR007W,0.47,42.23
YFR008W,0.45,66.29
YFR009W,0.61,36.23
YFR010W,0.54,45.52
YFR011C,0.54,30.39
YFR012W,0.45,48.31
YFR013W,0.43,41.05
YFR014C,0.48,45.52
YFR015C,0.55,33.63
YFR016C,0.48,49.75
YFR017C,0.53,53.49
YFR018C,0.38,40.94
YFR019W,0.46,43.26
YFR020W,0.48,35.48
YFR021W,0.47,45.69
YFR022W,0.43,61.48
YFR023W,0.44,42.06
YFR025C,0.48,48.87
YFR026C,0.41,55.18
YFR027W,0.38,39.93
YFR028C,0.46,38.66
YFR029W,0.49,41.9
YFR030W,0.59,39.33
YFR031C,0.47,44.37
YFR032C,0.58,42.72
YFR033C,0.54,62.66
YFR034C,0.4,61.01
YFR035C,0.45,30.66
YFR036W,0.51,50.46
YFR037C,0.5,41.69
YFR038W,0.47,32.63
YFR039C,0.42,38.0
YFR040W,0.45,41.8
YFR041C,0.47,34.52
YFR042W,0.4,35.03
YFR043C,0.46,49.01
YFR044C,0.64,32.39
YFR045W,0.48,35.58
YFR046C,0.42,55.48
YFR047C,0.56,41.02
YFR048W,0.44,58.19
YFR049W,0.41,26.13
YFR050C,0.5,27.2
YFR051C,0.57,52.34
YFR052W,0.52,47.74
YFR053C,0.74,35.2
YFR054C,0.48,58.81
YFR056C,0.42,51.72
YFR055W,0.48,27.85
YFR057W,0.33,35.92
YER044C-A,0.43,39.87
YFL010W-A,0.48,81.93
YKL096W-A,0.94,31.08
YHR079C-A,0.51,29.64
YHR039C-A,0.72,28.84
YKL006C-A,0.4,41.34
YEL017C-A,0.8,50.46
YFR031C-A,0.94,22.74
YER019C-A,0.63,54.64
YER087C-B,0.53,36.03
YAR002C-A,0.65,31.96
YCR079W,0.42,30.43
YAL034C,0.45,56.9
YER056C-A,0.93,50.07
YAL004W,0.58,23.89
YAL034C-B,0.4,38.0
YAL042C-A,0.43,76.45
YAL056C-A,0.45,44.4
YAL064C-A,0.56,34.68
YAL064W-B,0.37,28.09
YAL068C,0.88,19.78
YAL069W,0.38,37.28
YAR066W,0.69,20.72
YAR075W,0.68,31.34
YBL005W-A,0.47,56.66
YBL005W-B,0.46,48.91
YBL100W-A,0.51,49.0
YBL100W-B,0.46,46.6
YBL109W,0.55,75.86
YBL111C,0.42,39.25
YBL112C,0.43,48.13
YBL113C,0.54,32.78
YBR012W-A,0.47,51.07
YBR012W-B,0.46,46.14
YBR084C-A,0.89,41.58
YBR089C-A,0.68,58.3
YBR162W-A,0.54,30.96
YDL001W,0.45,44.18
YDL002C,0.41,51.57
YDL003W,0.46,49.88
YDL004W,0.59,49.92
YDL005C,0.5,41.32
YDL006W,0.4,41.68
YDL007W,0.49,42.27
YDL008W,0.52,50.14
YDL009C,0.5,30.18
YDL010W,0.45,35.6
YDL011C,0.45,29.17
YDL012C,0.51,103.12
YDL013W,0.43,52.28
YDL014W,0.81,36.77
YDL015C,0.55,38.25
YDL016C,0.31,50.89
YDL017W,0.43,35.4
YDL018C,0.48,49.32
YDL019C,0.46,41.27
YDL020C,0.45,51.03
YDL021W,0.5,36.51
YDL022W,0.77,30.73
YDL023C,0.41,36.75
YDL024C,0.43,35.43
YDL025C,0.46,43.69
YDL026W,0.4,36.99
YDL027C,0.43,41.03
YDL028C,0.4,49.73
YDL029W,0.56,40.4
YDL030W,0.44,57.12
YDL031W,0.52,43.57
YDL032W,0.53,65.33
YDL033C,0.45,38.6
YDL034W,0.45,48.08
YDL035C,0.41,38.01
YDL036C,0.43,33.94
YDL037C,0.57,49.2
YDL039C,0.56,43.89
YDL040C,0.52,29.98
YDL041W,0.53,29.41
YDL042C,0.46,38.61
YDL043C,0.47,44.2
YDL044C,0.48,40.67
YDL045C,0.47,33.83
YDL046W,0.61,37.78
YDL047W,0.51,27.42
YDL048C,0.48,59.49
YDL049C,0.48,33.28
YDL050C,0.46,36.3
YDL051W,0.6,62.64
YDL052C,0.58,45.82
YDL053C,0.44,50.64
YDL054C,0.41,36.16
YDL055C,0.83,25.42
YDL056W,0.46,54.64
YDL057W,0.41,40.05
YDL058W,0.49,44.51
YDL059C,0.42,26.68
YDL060W,0.52,43.75
YDL061C,0.94,37.15
YDL062W,0.37,43.34
YDL063C,0.42,48.29
YDL064W,0.47,65.19
YDL065C,0.43,39.56
YDL066W,0.69,32.85
YDL067C,0.71,45.72
YDL068W,0.42,47.0
YDL069C,0.43,28.59
YDL070W,0.45,48.09
YDL071C,0.43,44.42
YDL072C,0.55,42.61
YDL073W,0.43,41.36
YDL074C,0.44,44.21
YDL075W,0.9,42.98
YDL076C,0.42,60.6
YDL077C,0.46,39.58
YDL078C,0.53,30.78
YDL079C,0.48,38.58
YDL080C,0.43,38.35
YDL081C,0.88,55.94
YDL082W,0.87,38.47
YDL083C,0.92,42.08
YDL084W,0.68,32.6
YDL085W,0.5,41.06
YDL086W,0.57,34.7
YDL087C,0.41,53.6
YDL088C,0.46,49.98
YDL089W,0.45,49.02
YDL090C,0.45,46.93
YDL091C,0.46,43.22
YDL092W,0.45,35.64
YDL093W,0.49,42.46
YDL094C,0.4,38.95
YDL095W,0.6,42.33
YDL096C,0.46,27.71
YDL097C,0.5,40.57
YDL098C,0.38,50.97
YDL099W,0.45,46.7
YDL100C,0.63,30.32
YDL101C,0.47,48.32
YDL102W,0.51,38.07
YDL103C,0.52,37.83
YDL104C,0.42,33.5
YDL105W,0.47,50.28
YDL106C,0.44,42.61
