ORF,gravy score,aliphatic index
YHL029C,-0.47,75.25
YHL030W,-0.08,98.2
YHL031C,-0.51,84.78
YHL032C,-0.3,78.33
YHL033C,-0.47,77.32
YHL034C,-0.86,54.61
YHL035C,0.08,105.8
YHL036W,0.68,107.61
YHL037C,0.13,92.41
YHL038C,-0.45,78.82
YHL039W,-0.21,89.75
YHL040C,0.33,99.65
YHL041W,0.3,96.03
YHL042W,0.01,76.47
YHL043W,-0.34,63.77
YHL044W,0.16,105.13
YHL045W,0.29,82.27
YHL046C,0.23,89.33
YHL047C,0.39,100.14
YHL048W,-0.16,78.78
YHL049C,-0.41,73.49
YHL050C,-0.36,75.68
YHR001W,-0.57,76.85
YHR002W,-0.11,83.41
YHR003C,-0.3,87.69
YHR004C,-0.47,85.23
YHR005C,-0.52,80.55
YHR006W,-0.76,67.21
YHR007C,-0.22,81.85
YHR008C,-0.35,78.21
YHR009C,-0.38,83.02
YHR010W,-0.52,68.13
YHR011W,-0.42,84.49
YHR012W,-0.52,76.57
YHR013C,-0.55,84.9
YHR014W,-0.92,63.24
YHR015W,-0.63,72.64
YHR016C,-0.73,55.84
YHR017W,-0.12,92.05
YHR018C,-0.29,85.18
YHR019C,-0.38,79.05
YHR020W,-0.39,74.44
YHR021C,-0.09,77.24
YHR022C,-0.18,89.63
YHR023W,-0.78,82.5
YHR024C,-0.3,81.29
YHR025W,-0.06,95.01
YHR026W,0.92,125.88
YHR027C,-0.28,90.73
YHR028C,-0.44,76.55
YHR029C,-0.11,83.0
YHR030C,-0.52,75.35
YHR031C,-0.39,86.23
YHR032W,0.14,94.77
YHR033W,-0.17,99.91
YHR034C,-0.49,85.37
YHR035W,-0.31,82.47
YHR036W,-0.63,68.29
YHR037W,-0.31,74.22
YHR038W,-0.6,83.8
YHR039C,-0.11,84.61
YHR040W,-0.86,57.84
YHR041C,-0.01,98.77
YHR042W,-0.25,82.78
YHR043C,-0.23,85.4
YHR044C,-0.15,89.66
YHR045W,-0.08,93.99
YHR046C,-0.24,77.63
YHR047C,-0.28,82.26
YHR048W,0.41,92.83
YHR049W,-0.35,83.92
YHR050W,0.36,108.09
YHR051W,-0.58,73.63
YHR052W,-0.59,85.27
YHR053C,-1.05,13.27
YHR054C,-0.13,94.56
YHR055C,-1.05,13.27
YHR056C,-0.34,82.14
YHR057C,-0.26,74.64
YHR058C,-0.48,68.35
YHR059W,-0.89,63.12
YHR060W,-0.94,70.89
YHR061C,-0.89,60.2
YHR062C,-0.16,100.93
YHR063C,-0.2,88.1
YHR064C,-0.2,93.42
YHR065C,-0.38,88.47
YHR066W,-0.9,72.39
YHR067W,-0.44,76.57
YHR068W,-0.24,82.61
YHR069C,-0.39,82.84
YHR070W,-0.28,82.62
YHR071W,-0.68,70.02
YHR072W,-0.21,76.1
YHR073W,-0.73,68.61
YHR074W,-0.2,85.59
YHR075C,-0.27,83.28
YHR076W,-0.4,75.12
YHR077C,-0.66,80.3
YHR078W,0.27,105.29
YHR079C,-0.36,86.28
YHR080C,-0.69,70.29
YHR081W,-0.88,75.47
YHR082C,-0.98,54.73
YHR083W,-0.13,92.06
YHR084W,-0.82,53.55
YHR085W,-0.39,92.33
YHR086W,-0.45,65.86
YHR087W,-0.48,75.35
YHR088W,-0.83,75.04
YHR089C,-0.68,46.17
YHR090C,-0.89,66.98
YHR091C,-0.29,85.74
YHR092C,0.26,84.13
YHR093W,-0.15,68.72
YHR094C,0.3,80.59
YHR095W,-0.15,87.25
YHR096C,0.13,79.78
YHR097C,-1.18,50.86
YHR098C,-0.23,85.33
YHR099W,-0.16,95.36
YHR100C,-0.27,90.81
YHR101C,-0.31,89.37
YHR102W,-0.61,71.48
YHR103W,-0.65,72.06
YHR104W,-0.23,90.09
YHR105W,-0.61,76.34
YHR106W,-0.11,82.85
YHR107C,-0.67,76.73
YHR108W,-0.42,87.58
YHR109W,-0.34,80.18
YHR110W,-0.3,81.71
YHR111W,-0.29,85.89
YHR112C,-0.23,88.88
YHR113W,-0.24,87.22
YHR114W,-0.82,68.11
YHR115C,-0.43,76.49
YHR116W,-1.42,24.39
YHR117W,-0.47,79.01
YHR118C,-0.69,73.6
YHR119W,-0.86,66.3
YHR120W,-0.36,85.84
YHR121W,-0.44,89.44
YHR122W,-0.37,106.2
YHR123W,0.42,99.05
YHR124W,-0.67,67.91
YHR125W,0.47,108.31
YHR126C,-0.12,75.24
YHR127W,-0.71,78.97
YHR128W,-0.14,95.22
YHR129C,-0.17,90.76
YHR130C,0.57,98.06
YHR131C,-0.87,65.56
YHR132C,-0.39,75.81
YHR133C,0.28,95.16
YHR134W,-0.6,80.79
YHR135C,-0.95,62.72
YHR136C,-0.94,58.41
YHR137W,-0.33,76.03
YHR138C,-0.07,98.12
YHR139C,0.17,91.29
YHR140W,0.28,97.68
YHR141C,-1.05,45.17
YHR142W,0.9,118.79
YHR143W-A,-0.33,73.79
YHR143W,0.0,72.03
YHR144C,-0.29,83.49
YHR145C,0.35,123.89
YHR146W,-0.9,63.6
YHR147C,-0.28,96.3
YHR148W,-0.7,81.49
YHR149C,-0.92,56.08
YHR150W,-0.37,73.66
YHR151C,-0.14,85.06
YHR152W,-1.11,57.31
YHR153C,-0.18,94.57
YHR154W,-0.55,77.18
YHR155W,-0.37,82.9
YHR156C,-1.09,66.56
YHR157W,-0.5,70.95
YHR158C,-0.74,72.58
YHR159W,-1.06,56.55
YHR160C,-0.76,66.54
YHR161C,-0.61,71.46
YHR162W,-0.05,82.89
YHR163W,-0.29,80.4
YHR164C,-0.45,87.33
YHR165C,-0.47,79.79
YHR166C,-0.4,77.12
YHR167W,-0.68,83.91
YHR168W,-0.44,80.57
YHR169W,-0.24,88.94
YHR170W,-0.36,83.6
YHR171W,-0.14,93.28
YHR172W,-0.44,84.75
YHR173C,-0.3,68.04
YHR174W,-0.18,84.81
YHR175W,-0.01,78.05
YHR176W,-0.31,81.24
YHR177W,-0.83,59.3
YHR178W,-0.38,78.2
YHR179W,-0.54,72.0
YHR180W,0.18,94.62
YHR181W,0.42,101.28
YHR182W,-0.56,78.55
YHR183W,-0.14,85.57
YHR184W,-0.91,64.6
YHR185C,-0.68,61.54
YHR186C,-0.41,81.0
YHR187W,-0.34,84.41
YHR188C,-0.17,84.26
YHR189W,-0.35,85.05
YHR190W,-0.11,99.28
YHR191C,-0.4,82.93
YHR192W,-0.5,81.98
YHR193C,-0.47,82.56
YHR194W,-0.21,89.09
YHR195W,-0.76,77.39
YHR196W,-0.5,89.73
YHR197W,-0.14,101.85
YHR198C,-0.46,76.31
YHR199C,-0.2,86.87
YHR200W,-0.51,79.18
YHR201C,-0.33,91.85
YHR202W,-0.39,79.64
YHR203C,-0.45,87.56
YHR204W,-0.2,82.2
YHR205W,-0.68,61.89
YHR206W,-0.64,73.89
YHR207C,-0.64,73.82
YHR208W,-0.3,81.13
YHR209W,-0.4,74.71
YHR210C,-0.35,81.28
YHR211W,-0.15,64.99
YHR212C,-0.6,75.53
YHR213W,-0.18,63.84
YHR214W,0.08,81.4
YHR215W,-0.39,67.78
YHR216W,-0.13,86.53
YHR217C,-0.48,73.9
YHR218W,-0.31,80.52
YHR219W,-0.61,62.23
YIL001W,-0.13,94.96
YIL002C,-0.36,83.12
YIL003W,-0.12,90.48
YIL004C,-0.28,71.71
YIL005W,-0.51,77.46
YIL006W,0.01,87.35
YIL007C,-0.34,98.64
YIL008W,-0.1,105.65
YIL009W,-0.16,86.99
YIL010W,-0.58,78.06
YIL011W,0.06,64.63
YIL012W,-0.03,85.85
YIL013C,0.02,86.27
YIL014W,-0.35,78.07
YIL015W,-0.2,73.12
YIL016W,-0.64,90.31
YIL017C,-0.19,95.39
YIL018W,-0.49,81.6
YIL019W,-1.13,62.28
YIL020C,-0.38,83.85
YIL021W,-0.43,74.87
YIL022W,-0.64,68.82
YIL023C,0.44,106.52
YIL024C,-0.71,63.67
YIL025C,-0.09,86.82
YIL026C,-0.43,89.17
YIL027C,0.02,97.5
YIL028W,0.45,93.01
YIL029C,0.28,93.09
YIL030C,0.01,92.22
YIL031W,-0.72,74.0
YIL032C,-0.6,68.37
YIL033C,-0.69,67.91
YIL034C,-0.52,80.13
YIL035C,-0.55,77.64
YIL036W,-0.89,63.29
YIL037C,-0.08,94.84
YIL038C,-0.82,67.24
YIL039W,-0.47,68.43
YIL040W,0.52,104.16
YIL041W,-0.57,73.72
YIL042C,-0.25,93.42
YIL043C,-0.04,95.54
YIL044C,-0.58,72.39
YIL045W,-0.82,70.55
YIL046W,-0.56,69.94
YIL047C,-0.19,77.12
YIL048W,-0.12,91.93
YIL049W,0.28,100.56
YIL050W,-0.23,91.95
YIL051C,-0.08,84.56
YIL052C,-0.8,63.86
YIL053W,-0.31,81.04
YIL054W,0.84,106.39
YIL055C,-0.65,66.63
YIL056W,-0.43,79.07
YIL057C,-0.95,61.47
YIL058W,0.57,97.48
YIL059C,0.15,87.43
YIL060W,0.42,112.95
YIL061C,-0.88,64.1
YIL062C,-0.32,89.88
YIL063C,-1.05,59.89
YIL064W,-0.28,80.98
YIL065C,-0.36,81.83
YIL066C,-0.34,75.84
YIL067C,-0.03,86.99
YIL068C,-0.32,89.1
YIL069C,-0.7,68.62
YIL070C,-0.46,70.95
YIL071C,-0.12,95.43
YIL072W,-0.43,81.75
YIL073C,-0.2,95.55
YIL074C,-0.09,95.64
YIL075C,-0.19,89.6
YIL076W,-0.34,93.59
YIL077C,-1.02,47.69
YIL078W,-0.55,69.58
YIL079C,-1.22,35.78
YIL082W,-0.77,60.15
YIL083C,-0.39,84.22
YIL084C,-1.26,53.29
YIL085C,-0.51,63.4
YIL086C,-0.46,70.17
YIL087C,0.21,88.47
YIL088C,0.54,114.48
YIL089W,-0.07,84.55
YIL090W,0.33,100.61
YIL091C,-0.77,72.74
YIL092W,-0.64,69.67
YIL093C,-0.74,68.19
YIL094C,-0.12,94.91
YIL095W,-0.65,72.91
YIL096C,-0.94,67.31
YIL097W,-0.5,86.95
YIL098C,-0.92,81.65
YIL099W,-0.17,83.43
YIL100W,-0.29,77.67
YIL101C,-0.6,64.0
YIL102C,-0.23,73.26
YIL103W,-0.25,89.27
YIL104C,-0.53,83.38
YIL105C,-0.7,74.14
YIL106W,-0.5,65.76
YIL107C,-0.7,72.11
YIL108W,-0.3,78.4
YIL109C,-0.24,83.39
YIL110W,-0.23,96.62
YIL111W,-0.63,72.74
YIL112W,-1.03,65.29
YIL113W,-0.34,90.66
YIL114C,-0.28,73.08
YIL115C,-0.59,63.55
YIL116W,-0.13,93.92
YIL117C,-0.44,78.33
YIL118W,-0.27,82.3
YIL119C,-0.93,61.0
YIL120W,0.27,99.64
YIL121W,0.41,103.97
YIL122W,-0.93,59.29
YIL123W,-0.2,62.75
YIL124W,-0.16,81.61
YIL125W,-0.49,74.53
YIL126W,-0.73,79.26
YIL127C,-1.18,72.93
YIL128W,0.0,104.42
YIL129C,-0.16,92.81
YIL130W,-0.62,76.81
YIL131C,-0.51,77.92
YIL132C,-0.44,91.94
YIL133C,-0.29,81.79
YIL134W,0.09,102.81
YIL135C,-1.01,48.62
YIL136W,-1.17,54.03
YIL137C,-0.27,87.2
YIL138C,-1.5,63.84
YIL139C,-0.32,95.29
YIL140W,-0.41,74.13
YIL141W,0.05,91.72
YIL142W,-0.15,96.62
YIL143C,-0.48,74.78
YIL144W,-0.81,83.96
YIL145C,-0.1,93.57
YIL146C,-0.39,82.46
YIL147C,-0.33,85.19
YIL148W,-0.71,81.98
YIL149C,-0.96,77.53
YIL150C,-0.83,66.9
YIL151C,-0.31,81.67
YIL152W,-0.86,75.94
YIL153W,-0.38,74.47
YIL154C,-0.6,76.85
YIL155C,-0.21,80.75
YIL156W,-0.56,78.21
YIL157C,-0.17,97.51
YIL158W,-0.49,70.23
YIL159W,-0.46,90.22
YIL160C,-0.09,94.69
YIL161W,-1.11,63.37
YIL162W,-0.44,59.97
YIL163C,-0.3,68.35
YIL164C,-0.13,85.86
YIL165C,-0.07,91.04
YIL166C,0.09,97.81
YIL167W,,
YIL169C,-0.19,61.98
YIL170W,0.44,91.82
YIL171W,-0.22,74.12
YIL172C,-0.75,58.06
YIL173W,-0.42,72.21
YIL174W,0.14,93.77
YIL175W,-0.1,81.84
YIL176C,0.23,89.43
YIL177C,-0.43,72.95
YIR001C,-1.25,47.71
YIR002C,-0.58,76.58
YIR003W,-1.1,56.87
YIR004W,-0.77,66.61
YIR005W,-0.77,81.8
YIR006C,-0.77,59.67
YIR007W,-0.44,69.03
YIR008C,-0.6,71.77
YIR009W,-0.43,76.79
YIR010W,-0.91,67.0
YIR011C,-0.49,80.46
YIR012W,-0.12,82.71
YIR013C,-0.36,73.94
YIR014W,0.25,125.14
YIR015W,-0.69,71.23
YIR016W,-0.61,68.56
YIR017C,-0.97,78.97
YIR018W,-1.04,70.12
YIR019C,-0.37,44.61
YIR020C,0.41,103.32
YIR021W,-0.15,89.07
YIR022W,0.09,99.71
YIR023W,-0.63,73.27
YIR024C,-0.4,97.8
YIR025W,-1.14,59.81
YIR026C,-0.42,73.28
YIR027C,-0.08,87.86
YIR028W,0.35,90.6
YIR029W,-0.38,75.99
YIR030C,-0.07,97.87
YIR031C,-0.28,83.85
YIR032C,-0.22,83.99
YIR033W,-0.65,74.96
YIR034C,-0.21,86.82
YIR035C,0.06,96.2
YIR036C,-0.06,95.77
YIR037W,-0.48,70.56
YIR038C,-0.25,85.76
YIR039C,-0.02,79.66
YIR040C,0.22,86.89
YIR041W,0.31,97.4
YIR042C,-0.48,73.85
YIR043C,,
YKL001C,-0.43,88.29
YKL002W,-0.75,74.49
YKL003C,-0.21,108.15
YKL004W,0.38,90.15
YKL005C,-0.85,68.19
YKL006W,-0.06,93.91
YKL007W,-0.53,81.99
YKL008C,0.06,86.15
YKL009W,-0.56,77.46
YKL010C,-0.24,89.89
YKL011C,-0.5,81.48
YKL012W,-0.93,69.24
YKL013C,-0.18,90.64
YKL014C,-0.17,94.9
YKL015W,-0.43,81.96
YKL016C,-0.64,78.49
YKL017C,-0.42,96.84
YKL018W,-0.21,76.9
YKL019W,-0.33,85.95
YKL020C,-0.53,76.21
YKL021C,-0.51,78.46
YKL022C,-0.48,75.54
YKL023W,-1.52,57.62
YKL024C,-0.36,80.26
YKL025C,-0.34,82.1
YKL026C,-0.43,70.09
YKL027W,-0.33,90.76
YKL028W,-0.95,66.93
YKL029C,-0.32,83.94
YKL030W,0.42,83.4
YKL031W,-0.29,62.08
YKL032C,-1.25,51.2
YKL033W,-0.07,101.07
YKL034W,-0.15,85.73
YKL035W,-0.3,93.14
YKL036C,-0.23,85.58
YKL037W,0.6,96.75
YKL038W,-0.53,73.75
YKL039W,0.14,91.17
YKL040C,-0.47,87.94
YKL041W,-0.88,75.12
YKL042W,-1.17,61.43
YKL043W,-0.48,74.15
YKL044W,0.41,92.79
YKL045W,-0.65,76.09
YKL046C,-0.14,70.38
YKL047W,-0.26,88.91
YKL048C,-0.49,79.92
YKL049C,-0.89,73.32
YKL050C,-0.87,67.1
YKL051W,0.22,84.55
YKL052C,-0.9,62.93
YKL053W,0.72,124.78
YKL054C,-1.54,33.64
YKL055C,-0.24,80.21
YKL056C,-0.33,71.92
YKL057C,-0.12,94.13
YKL058W,-0.28,83.96
YKL059C,-0.79,56.8
YKL060C,-0.36,74.26
YKL061W,-0.92,74.11
YKL062W,-0.85,55.16
YKL063C,-1.04,72.29
YKL064W,-0.76,67.48
YKL065C,-0.17,93.59
YKL066W,0.2,101.82
YKL067W,-0.37,79.47
YKL068W,-0.7,52.37
YKL069W,-0.1,89.25
YKL070W,-0.57,59.96
YKL071W,0.1,99.62
YKL072W,-0.63,70.99
YKL073W,-0.45,86.44
YKL074C,-0.81,62.68
YKL075C,-0.68,74.59
YKL076C,0.06,79.66
YKL077W,-0.64,63.47
YKL078W,-0.26,88.76
YKL079W,-0.63,80.88
YKL080W,-0.21,91.12
YKL081W,-0.4,73.35
YKL082C,-1.46,56.47
YKL083W,1.03,103.17
YKL084W,-0.38,63.33
YKL085W,-0.1,94.97
YKL086W,-0.2,83.68
YKL087C,-0.95,54.1
YKL088W,-0.95,66.47
YKL089W,-0.98,63.92
YKL090W,-0.63,80.94
YKL091C,-0.47,77.13
YKL092C,-0.43,90.07
YKL093W,-0.78,52.9
YKL094W,-0.49,67.47
YKL095W,-1.1,63.15
YKL096W,-0.15,69.34
YKL097C,0.35,77.98
YKL098W,-0.18,85.95
YKL099C,-1.31,55.77
YKL100C,-0.04,93.15
YKL101W,-0.74,71.36
YKL102C,0.09,86.8
YKL103C,-0.34,83.11
YKL104C,-0.17,93.81
YKL105C,-1.09,59.29
YKL106W,-0.35,79.32
YKL107W,-0.38,80.29
YKL108W,-1.06,65.65
YKL109W,-0.99,61.23
YKL110C,-0.32,93.1
YKL111C,0.11,114.7
YKL112W,-1.14,60.7
YKL113C,-0.5,81.3
YKL114C,-0.64,69.01
YKL115C,0.35,96.92
YKL116C,-0.43,83.06
YKL117W,-0.76,60.36
YKL118W,0.63,104.69
YKL119C,-0.22,94.74
YKL120W,0.14,99.3
YKL121W,-0.57,65.3
YKL122C,-0.94,67.27
YKL123W,-0.14,89.23
YKL124W,-0.58,69.58
YKL125W,-0.37,81.89
YKL126W,-0.39,81.06
YKL127W,-0.27,80.73
YKL128C,-0.46,77.5
YKL129C,-0.57,73.05
YKL130C,-0.1,98.25
YKL131W,0.38,104.45
YKL132C,-0.08,102.32
YKL133C,-0.53,83.54
YKL134C,-0.38,79.46
YKL135C,-0.09,103.62
YKL136W,0.31,82.36
YKL137W,-0.97,56.2
YKL138C,-0.88,60.2
YKL139W,-0.86,65.07
YKL140W,-0.17,89.95
YKL141W,0.25,104.84
YKL142W,-0.61,86.97
YKL143W,-1.12,58.86
YKL144C,-0.25,85.16
YKL145W,-0.57,75.31
YKL146W,0.07,92.81
YKL147C,0.48,104.71
YKL148C,-0.37,74.08
YKL149C,-0.65,76.47
YKL150W,-0.47,71.28
YKL151C,-0.24,84.97
YKL152C,-0.49,85.17
YKL153W,-0.11,87.05
YKL154W,-0.11,100.86
YKL155C,-0.75,75.63
YKL156W,-0.08,78.85
YKL157W,-0.32,76.96
YKL159C,-0.61,80.2
YKL160W,-1.16,50.15
YKL161C,-0.27,84.86
YKL162C,-0.37,83.51
YKL163W,-0.13,75.54
YKL164C,-0.11,80.07
YKL165C,0.24,99.43
YKL166C,-0.5,73.68
YKL167C,-0.5,86.32
YKL168C,-0.76,65.29
YKL169C,0.32,82.55
YKL170W,-0.11,91.93
YKL171W,-0.64,68.6
YKL172W,-1.49,49.87
YKL173W,-0.23,95.06
YKL174C,0.45,109.77
YKL175W,-0.18,82.76
YKL176C,-0.44,80.57
YKL177W,0.52,110.63
YKL178C,0.08,95.41
YKL179C,-0.87,76.01
YKL180W,-0.7,65.06
YKL181W,-0.26,91.65
YKL182W,-0.18,85.14
YKL183W,-0.51,74.44
YKL184W,-0.22,81.46
YKL185W,-0.82,60.95
YKL186C,-0.41,72.06
YKL187C,0.13,105.54
YKL188C,-0.35,91.95
YKL189W,-0.19,87.32
YKL190W,-0.39,82.4
YKL191W,-0.19,85.77
YKL192C,-0.25,87.95
YKL193C,-0.48,107.97
YKL194C,-0.54,71.18
YKL195W,-1.36,39.45
YKL196C,-0.4,76.9
YKL197C,-0.31,91.28
YKL198C,-0.46,66.84
YKL201C,-0.99,67.03
YKL202W,0.26,86.4
YKL203C,-0.19,96.35
YKL204W,-1.02,50.03
YKL205W,0.02,102.29
YKL206C,-0.14,93.33
YKL207W,0.0,91.34
YKL208W,-0.48,82.47
YKL209C,0.08,98.54
YKL210W,-0.32,82.37
YKL211C,-0.14,92.3
YKL212W,-0.34,79.43
YKL213C,-0.24,88.38
YKL214C,-1.27,54.12
YKL215C,-0.2,88.59
YKL216W,-0.19,84.08
YKL217W,0.15,88.26
YKL218C,-0.06,92.66
YKL219W,-0.14,74.9
YKL220C,0.13,88.79
YKL221W,0.55,110.49
YKL222C,-0.4,81.63
YKL223W,0.21,87.88
YKL224C,0.33,98.24
YKL225W,0.13,104.74
YKR001C,-0.37,92.91
YKR002W,-0.33,83.49
YKR003W,-0.64,72.33
YKR004C,-0.25,83.27
YKR005C,-0.45,70.59
YKR006C,-0.8,69.38
YKR007W,-0.89,69.81
YKR008W,-0.6,80.7
YKR009C,-0.16,85.82
YKR010C,-0.9,65.25
YKR011C,-0.72,69.1
YKR012C,0.11,73.25
YKR013W,-0.14,62.11
YKR014C,-0.63,78.32
YKR015C,-0.79,68.0
YKR016W,-0.59,87.32
YKR017C,-0.46,69.89
YKR018C,-0.29,88.67
YKR019C,-0.96,63.11
YKR020W,-1.05,81.37
YKR021W,-0.59,73.96
YKR022C,-0.89,80.03
YKR023W,-1.1,63.12
YKR024C,-0.49,77.92
YKR025W,-0.86,66.92
YKR026C,0.03,97.29
YKR027W,-0.1,96.39
YKR028W,-0.74,74.38
YKR029C,-0.84,69.28
YKR030W,0.26,99.53
YKR031C,-0.73,73.31
YKR032W,0.45,102.57
YKR033C,0.65,111.6
YKR034W,-0.64,79.85
YKR035C,0.69,93.27
YKR036C,-0.46,86.2
YKR037C,-0.67,79.9
YKR038C,-0.14,91.07
YKR039W,0.38,98.11
YKR040C,0.36,91.66
YKR041W,-1.13,49.64
YKR042W,-0.12,66.21
YKR043C,-0.56,79.0
YKR044W,-0.36,83.75
YKR045C,-0.95,57.34
YKR046C,-0.35,85.26
YKR047W,-0.2,86.67
YKR048C,-0.85,70.72
YKR049C,-0.65,73.86
YKR050W,-0.21,80.81
YKR051W,0.1,88.75
YKR052C,0.09,82.06
YKR053C,0.24,92.88
YKR054C,-0.2,93.98
YKR055W,-0.34,82.98
YKR056W,-0.48,74.87
YKR057W,-0.65,78.52
YKR058W,-0.79,65.81
YKR059W,-0.2,90.28
YKR060W,-0.46,95.7
YKR061W,-0.47,64.62
YKR062W,-0.76,77.63
YKR063C,-0.71,78.3
YKR064W,-0.35,79.21
YKR065C,-0.13,84.24
YKR066C,-0.61,60.25
YKR067W,-0.15,90.93
YKR068C,-0.17,92.35
YKR069W,-0.17,94.97
YKR070W,-0.28,86.63
YKR071C,-0.58,72.93
YKR072C,-0.85,68.35
YKR073C,0.67,105.12
YKR074W,-0.82,71.48
YKR075C,-0.84,69.81
YKR076W,-0.58,69.4
YKR077W,-0.6,69.92
YKR078W,-0.59,81.76
YKR079C,-0.41,82.36
YKR080W,-0.3,89.07
YKR081C,-0.67,67.95
YKR082W,-0.28,91.44
YKR083C,-0.92,80.83
YKR084C,-0.46,80.16
YKR085C,-0.78,57.98
YKR086W,-0.42,86.4
YKR087C,-0.22,78.31
YKR088C,0.25,106.23
YKR089C,-0.48,80.87
YKR090W,-0.93,55.69
YKR091W,-0.73,62.73
YKR092C,-1.36,19.04
YKR093W,0.14,81.57
YKR094C,-0.71,81.98
YKR095W,-1.11,77.49
YKR096W,-0.51,77.19
YKR097W,-0.29,75.58
YKR098C,-0.52,84.46
YKR099W,-0.91,63.23
YKR100C,-0.94,58.64
YKR101W,-0.42,87.01
YKR102W,-0.27,54.3
YKR103W,0.14,98.11
YKR104W,-0.37,88.53
YKR105C,0.62,114.13
YKR106W,0.29,93.74
YAL065C,0.13,86.95
YAR030C,0.25,104.63
YFL068W,0.31,99.07
YFL067W,0.36,104.6
YFL066C,-0.07,92.83
YFL065C,-0.29,80.67
YFL064C,-0.48,68.3
YFL063W,0.13,93.97
YFL062W,-0.03,83.81
YFL061W,-0.15,85.86
YFL060C,-0.13,89.76
YFL059W,-0.01,92.04
YFL058W,-0.32,78.83
YFL056C,,
YFL055W,0.47,107.44
YFL054C,-0.41,69.61
YFL053W,-0.08,90.52
YFL052W,-0.14,85.58
YFL051C,-0.45,56.89
YFL050C,-0.6,65.73
YFL049W,-0.55,80.18
YFL048C,-0.41,83.85
YFL047W,-0.44,82.19
YFL046W,-0.49,86.85
YFL045C,-0.39,76.77
YFL044C,-0.33,85.93
YFL042C,-0.61,69.53
YFL041W,-0.27,81.97
YFL040W,0.47,110.07
YFL039C,-0.18,80.6
YFL038C,-0.41,78.73
YFL037W,-0.37,68.93
YFL036W,-0.42,85.19
YFL034C-B,-0.49,66.1
YFL034W,-0.54,76.63
YFL033C,-0.59,73.41
YFL032W,-0.13,74.29
YFL031W,-0.77,64.25
YFL030W,0.05,91.41
YFL029C,-0.3,84.49
YFL028C,-0.26,96.92
YFL027C,-0.21,97.55
YFL026W,0.13,91.7
YFL025C,0.09,100.26
YFL024C,-1.02,63.18
YFL023W,-1.05,64.43
YFL022C,-0.47,80.58
YFL021W,-0.61,68.49
YFL020C,0.31,94.68
YFL019C,-0.18,79.33
YFL018C,-0.18,91.72
YFL017C,-0.24,89.99
YFL016C,-0.56,62.5
YFL015C,0.1,70.5
YFL014W,-1.21,40.22
YFL013C,-0.69,77.21
YFL012W,-0.78,70.7
YFL011W,0.42,92.68
YFL010C,-1.01,29.09
YFL009W,-0.28,86.02
YFL008W,-0.74,83.74
YFL007W,-0.2,91.35
YFL005W,-0.23,87.38
YFL004W,-0.53,82.08
YFL003C,-0.2,95.74
YFL002C,-0.36,84.95
YFL001W,-0.45,76.48
YFR001W,-1.27,66.21
YFR002W,-0.36,95.31
YFR003C,-1.62,34.87
YFR004W,-0.38,80.33
YFR005C,-0.36,84.55
YFR006W,-0.42,77.97
YFR007W,-0.31,91.25
YFR008W,-0.75,87.12
YFR009W,-0.46,86.52
YFR010W,-0.66,70.78
YFR011C,-0.72,78.04
YFR012W,0.79,122.17
YFR013W,-0.83,68.35
YFR014C,-0.57,81.39
YFR015C,-0.35,81.91
YFR016C,-1.14,62.12
YFR017C,-1.02,43.6
YFR018C,-0.21,88.03
YFR019W,-0.67,70.64
YFR020W,-0.2,62.53
YFR021W,-0.25,80.62
YFR022W,-0.35,82.67
YFR023W,-0.67,68.59
YFR025C,-0.32,83.17
YFR026C,-0.39,76.63
YFR027W,-0.6,77.5
YFR028C,-0.5,72.35
YFR029W,-0.48,76.41
YFR030W,-0.11,92.82
YFR031C,-0.62,86.39
YFR032C,-0.51,74.86
YFR033C,-1.38,52.5
YFR034C,-0.76,65.85
YFR035C,0.68,79.74
YFR036W,-1.23,59.36
YFR037C,-0.67,75.81
YFR038W,-0.47,87.38
YFR039C,-0.48,80.2
YFR040W,-0.69,79.57
YFR041C,-0.64,71.65
YFR042W,0.56,120.65
YFR043C,-0.43,86.39
YFR044C,-0.2,83.63
YFR045W,0.06,85.13
YFR046C,-0.82,80.92
YFR047C,-0.14,87.18
YFR048W,-0.69,69.97
YFR049W,-0.19,77.74
YFR050C,-0.22,84.52
YFR051C,-0.41,78.24
YFR052W,-0.43,91.1
YFR053C,-0.33,85.75
YFR054C,0.17,87.32
YFR056C,0.5,112.47
YFR055W,-0.07,93.6
YFR057W,-0.16,72.72
YER044C-A,-0.2,102.13
YFL010W-A,-1.19,53.07
YKL096W-A,0.47,81.39
YHR079C-A,-1.06,69.84
YHR039C-A,-0.76,86.12
YKL006C-A,-0.19,87.58
YEL017C-A,1.01,140.38
YFR031C-A,-0.49,81.6
YER019C-A,0.03,96.57
YER087C-B,0.04,96.12
YAR002C-A,-0.13,88.95
YCR079W,-0.42,79.11
YAL034C,-0.84,65.13
YER056C-A,-0.77,65.52
YAL004W,-0.02,97.23
YAL034C-B,0.36,109.18
YAL042C-A,0.05,79.86
YAL056C-A,0.28,99.54
YAL064C-A,0.02,68.73
YAL064W-B,0.97,123.47
YAL068C,0.25,90.09
YAL069W,0.54,120.22
YAR066W,0.08,81.4
YAR075W,-0.27,77.25
YBL005W-A,-0.78,56.36
YBL005W-B,-0.64,73.73
YBL100W-A,-0.81,61.96
YBL100W-B,-0.7,73.65
YBL109W,-0.15,90.1
YBL111C,-0.33,78.93
