Absolute_Context_Score_Main_ATG,Numer_of_alt_ATG_5UTR,Numer_of_alt_ATG_ORF,Numer_of_alt_ATG_ORF_30codons,Numer_of_alt_ATG_ORF_200codons,Number_of_alt_ATG_tot,Max_ATG_Context_Score_ORF_30codons,Mean_ATG_Context_Score_ORF_30codons,Max_relative_ATG_Context_Score_ORF_30codons,Mean_relative_ATG_Context_Score_ORF_30codons
-694.8137,0,49,3,5,49,-15.2284,-16.0386302070294,679.5853,678.775094304065
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,9,1,1,9,-12.2858,-12.2858,452.2695,452.2695
-8.5435,0,2,0,0,2,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.209,0,24,2,3,24,-17.3504,-17.8363691535591,-7.1414,-7.62736915355911
-10.3733,0,37,4,7,37,-10.6658,-11.4601926101081,-0.29255,-1.08691106586277
-7.8649,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.0165,0,14,0,2,14,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.5439,1,52,2,5,53,-13.5976,-13.847739378955,0.94634,0.696179147590535
-12.2204,0,8,0,0,8,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.7431,0,12,0,0,12,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,5,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,36,3,8,36,-14.5324,-15.1923319735294,450.0228,449.362868026471
-15.8347,0,233,0,3,233,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.5932,0,46,2,2,46,-12.6422,-12.7846850386921,-2.049,-2.19148503869206
-12.0915,1,18,2,4,19,-13.0506,-13.3935926572242,-0.95911,-1.30209970300584
-9.8314,0,22,5,6,22,-13.1966,-14.6487787958451,-3.3653,-4.81747761597107
-11.5864,1,4,2,0,5,-12.6264,-12.8873837757308,-1.04,-1.3009486849221
-11.8962,0,1,0,0,1,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-15.3264,0,7,0,0,7,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-8.7022,0,25,0,3,25,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,2,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-11.3306,0,83,5,8,83,-14.4454,-15.3033532448027,-3.1148,-3.97275345775988
-12.0808,0,36,2,3,36,-13.5622,-13.9479283210319,-1.4814,-1.86715478580574
-15.8848,1,54,1,4,55,-13.1817,-13.1817,2.703,2.703
NaN,NaN,4,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-12.993,0,18,0,4,18,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.0388,0,16,5,0,16,-13.2145,-14.4150574091274,-2.1757,-3.37625469834226
-464.5552,0,36,3,6,36,-9.9819,-11.0684667531159,454.5733,453.486734374465
-8.5237,0,3,1,0,3,-16.227,-16.227,-7.7033,-7.7033
-9.7446,1,18,2,3,19,-13.9633,-14.1951080866126,-4.2187,-4.45050808661258
-9.4695,0,43,1,4,43,-15.9371,-15.9371,-6.4676,-6.4676
-15.3897,0,52,3,5,52,-10.6655,-11.7407625688543,4.7242,3.64893599928412
-15.4148,0,3,0,1,3,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.6465,0,48,1,3,48,-16.5261,-16.5261,-2.8796,-2.8796
-9.6671,0,8,1,0,8,-14.4712,-14.4712,-4.8041,-4.8041
-694.8137,0,35,3,4,35,-9.8024,-10.8734274730023,685.0114,683.940372526998
-11.8798,3,25,2,4,28,-12.8613,-13.5439667424408,-0.98148,-1.66414695095297
-4.0382,0,38,1,1,38,-7.09,-7.09,-3.0518,-3.0518
-13.4178,1,6,0,0,7,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.2114,1,27,0,2,28,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,39,3,4,39,-13.3032,-13.9164194596977,681.5106,680.897378453509
-464.5552,0,54,2,7,54,-16.9629,-16.9698755002001,447.5923,447.585374151056
-13.9093,0,20,3,3,20,-14.9003,-15.4682323172367,-0.99098,-1.55892055309084
-9.1431,0,19,3,7,19,-13.9387,-14.4945108905324,-4.7956,-5.35141089053238
-464.5552,0,30,0,3,30,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,27,0,4,27,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.1363,0,54,0,1,54,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,11,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-9.7624,0,13,0,4,13,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-15.1284,0,12,4,0,12,-11.686,-13.0290116920704,3.4424,2.09938857990077
-12.7923,0,22,2,6,22,-13.7506,-14.2678147957675,-0.95827,-1.47548963546595
-464.5552,0,60,2,6,60,-11.9718,-12.5923212133529,452.5835,451.962971781832
-11.1706,0,39,0,6,39,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.0318,0,29,2,6,29,-13.8649,-14.4261921009969,-1.8331,-2.39439210099687
-13.4703,0,22,1,4,22,-12.4773,-12.4773,0.99304,0.99304
-16.2793,0,52,3,4,52,-14.622,-15.1891119167438,1.6573,1.0901772021532
-10.9594,0,4,2,0,4,-15.5281,-15.7656815215746,-4.5687,-4.80628152157457
-694.8137,0,22,0,0,22,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.7447,0,25,1,3,25,-16.6057,-16.6057,-6.861,-6.861
-14.6236,0,20,4,6,20,-14.0323,-15.3719869205641,0.5913,-0.748385514756318
-234.2967,0,6,0,0,6,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,59,2,3,59,-14.4997,-15.0374980039091,680.314,679.776201996091
-234.2967,0,49,2,5,49,-11.5379,-12.2114081353744,222.7589,222.085391864626
-8.4161,0,63,2,4,63,-14.1663,-14.8509248394423,-5.7503,-6.4349248394423
-14.2455,1,40,5,8,41,-11.5539,-12.4227091830921,2.6916,1.82279185661329
NaN,NaN,6,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,2,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-14.7945,0,4,1,0,4,-15.6118,-15.6118,-0.81724,-0.81724
-701.4401,0,7,0,0,7,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-234.2967,0,12,1,0,12,-17.5345,-17.5345,216.7622,216.7622
-464.5552,0,6,0,0,6,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-18.6532,0,38,1,3,38,-8.7702,-8.7702,9.883,9.883
-7.7886,0,27,1,3,27,-15.1604,-15.1604,-7.3718,-7.3718
-10.3268,0,31,3,6,31,-16.2064,-17.0119072550473,-5.8796,-6.68510809703956
-11.3957,1,18,0,2,19,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.9975,0,30,0,1,30,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-18.4338,0,4,1,0,4,-11.8258,-11.8258,6.6079,6.6079
-7.9092,0,45,3,4,45,-11.3455,-12.093078169717,-3.4362,-4.18380777270152
NaN,NaN,5,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,24,0,2,24,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,32,1,2,32,-10.8637,-10.8637,683.9501,683.9501
-8.9433,1,25,1,4,26,-9.9595,-10.4978295315726,-0.28404,-0.58455797459052
NaN,NaN,0,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-11.4626,0,1,1,0,1,-11.7466,-11.7466,-0.28404,-0.28404
-13.7003,1,0,0,0,1,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,4,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-13.6468,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,6,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,31,2,3,31,-10.4775,-10.8765002748507,684.3363,683.9372742428
-12.9016,0,25,2,3,25,-14.3649,-14.6106919733215,-1.4634,-1.70915590384629
-9.6349,0,7,1,0,7,-13.6417,-13.6417,-4.0068,-4.0068
-10.2479,0,19,2,2,19,-12.3803,-13.0702410915857,-2.1324,-2.82234109158575
-12.9127,1,24,1,3,25,-14.4001,-14.4001,-1.4873,-1.4873
-10.1805,0,21,1,3,21,-17.1227,-17.1227,-6.9421,-6.9421
-9.6661,0,11,1,3,11,-10.1609,-10.1609,-0.49488,-0.49488
-464.5552,0,20,1,3,20,-10.6531,-10.6531,453.9022,453.9022
NaN,NaN,6,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-234.2967,0,31,0,3,31,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,15,2,6,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,14,0,0,14,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-16.7908,0,34,2,4,34,-10.7022,-11.3167905444992,6.0887,5.47410945550084
-14.9038,0,12,3,0,12,-12.4181,-13.0591789980785,2.4856,1.84452392056785
-9.8345,0,21,0,2,21,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,4,0,0,4,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,3,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,1,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,6,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,104,0,1,104,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-16.0195,0,13,2,6,13,-12.2514,-12.925074680249,3.7681,3.09442551259334
-17.4099,0,22,0,0,22,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,8,1,0,8,-11.1566,-11.1566,683.6571,683.6571
-11.1226,1,16,2,4,17,-14.5369,-15.0451866711385,-3.4143,-3.92258667113851
-14.7553,0,19,2,4,19,-12.1343,-12.8217843575588,2.621,1.93351564244124
-699.0766,0,18,4,6,18,-10.4555,-11.7279146842572,688.6211,687.348685315743
-11.8276,0,36,3,6,36,-13.2862,-14.1724540011168,-1.4586,-2.34485400111684
NaN,NaN,2,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,12,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-8.6271,0,16,3,4,16,-9.5178,-10.5976773692705,-0.89073,-1.970606812447
NaN,NaN,2,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-10.161,0,61,3,7,61,-11.2835,-12.3345043000647,-1.1225,-2.17350430006465
-13.3363,0,26,5,8,26,-14.5379,-15.3350119399415,-1.2016,-1.99870294145259
-694.8137,0,42,2,2,42,-14.0412,-14.7304892701065,680.7725,680.083211114961
NaN,NaN,5,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-9.4452,0,39,1,3,39,-11.9187,-11.9187,-2.4735,-2.4735
-12.5976,2,43,2,3,45,-12.592,-12.9268197024014,0.00564439999999995,-0.32917662748494
-11.6081,0,2,1,0,2,-18.7709,-18.7709,-7.1627,-7.1627
-12.5183,0,18,1,4,18,-12.6114,-12.6114,-0.09309,-0.09309
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,19,1,2,19,-13.9783,-13.9783,680.8355,680.8355
-694.8137,0,14,1,3,14,-14.533,-14.533,680.2808,680.2808
-464.5552,0,27,1,5,27,-9.8195,-9.8195,454.7358,454.7358
NaN,NaN,5,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,6,2,0,6,-16.0824,-16.5678821139518,678.7313,678.245817886048
-464.5552,0,16,1,3,16,-13.8052,-13.8052,450.7501,450.7501
-13.4104,0,79,2,3,79,-12.0874,-12.7674395531404,1.323,0.64296044685963
-694.8137,0,50,2,3,50,-10.2701,-10.9560301427733,684.5437,683.857769138157
-10.3341,0,19,1,6,19,-11.657,-11.657,-1.3229,-1.3229
-11.0216,0,74,3,5,74,-13.5848,-14.3289205511852,-2.5632,-3.30732055118519
-6.0621,0,7,2,0,7,-17.4679,-17.7914321743624,-11.4058,-11.7293321743624
-10.3158,0,4,0,0,4,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,8,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-8.2072,0,25,3,5,25,-14.359,-15.2622535206546,-6.1518,-7.05503926926675
NaN,NaN,6,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,33,2,4,33,-12.5245,-13.1977517305837,452.0307,451.357448269416
-16.1553,0,81,0,1,81,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,3,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-12.3875,0,54,1,3,54,-18.5418,-18.5418,-6.1543,-6.1543
NaN,NaN,6,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,18,3,6,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,13,2,0,13,-12.2067,-12.830603380743,682.6071,681.983196619257
-694.8137,0,7,1,0,7,-12.0167,-12.0167,682.797,682.797
-13.2145,1,25,0,1,26,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-8.7667,0,17,0,2,17,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.9632,0,8,0,0,8,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-8.4547,0,7,0,0,7,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-8.8276,0,35,1,8,35,-13.9612,-13.9612,-5.1336,-5.1336
-464.5552,0,36,5,8,36,-12.6132,-13.1965732131369,451.942,451.358636982004
-10.3456,0,36,1,4,36,-14.5291,-14.5291,-4.1835,-4.1835
-17.2987,2,54,1,1,56,-11.0174,-11.0174,6.2813,6.2813
-12.7082,1,4,1,0,5,-10.9039,-10.9039,1.8043,1.8043
NaN,NaN,4,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,21,2,4,21,-15.1032,-15.3615808992909,449.452,449.193654360254
-242.3888,0,24,1,1,24,-14.9537,-14.9537,227.4351,227.4351
-14.5059,0,12,4,0,12,-13.2753,-14.4982071925256,1.2306,0.00768462283783209
-464.5552,0,3,0,0,3,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.8403,1,19,0,1,20,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,2,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-6.2162,0,17,2,6,17,-18.8407,-19.4066805535791,-12.6244,-13.1903805535791
-12.2818,0,37,1,3,37,-16.711,-16.711,-4.4292,-4.4292
-14.3628,0,38,2,2,38,-14.0388,-14.7006519146171,0.32398,-0.337871298398385
NaN,NaN,2,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,5,1,0,5,-15.8172,-15.8172,678.9965,678.9965
-9.0124,0,68,1,4,68,-17.6298,-17.6298,-8.6174,-8.6174
-12.2697,0,31,4,7,31,-12.9274,-13.7829029133933,-0.65765,-1.51317350612527
-694.8137,0,10,4,4,10,-12.816,-13.665369573197,681.9977,681.14834648166
-16.6578,0,32,2,5,32,-12.726,-12.8157697263051,3.9318,3.84203027369491
-14.759,1,1,0,0,2,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,4,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-13.9738,2,31,1,4,33,-11.6375,-11.6375,2.3363,2.3363
-17.5259,0,71,2,7,71,-8.5608,-9.25389674556187,8.9651,8.27200325090789
-16.6214,2,31,0,3,33,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.2786,0,31,2,5,31,-14.3217,-14.7242493697505,-3.0431,-3.4456493697505
-9.7111,1,40,0,5,41,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.8281,4,28,1,3,32,-15.6516,-15.6516,-4.8236,-4.8236
-464.5552,0,11,2,0,11,-8.3018,-8.99048862355495,456.2535,455.564811376445
-694.8137,0,10,2,0,10,-11.3248,-11.9647171766783,683.4889,682.848988007377
NaN,NaN,5,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,41,4,6,41,-13.4039,-14.1266963938872,681.4098,680.68702247497
-464.5552,0,41,1,3,41,-17.9579,-17.9579,446.5974,446.5974
-14.162,0,32,0,3,32,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.5795,2,16,0,3,18,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,12,1,0,12,-17.8952,-17.8952,446.6601,446.6601
NaN,NaN,4,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,4,0,0,4,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,6,1,3,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,16,1,5,16,-16.1725,-16.1725,678.6413,678.6413
-694.8137,0,14,1,5,14,-16.1725,-16.1725,678.6413,678.6413
-234.2967,0,77,4,7,77,-12.1277,-13.4135300552589,222.169,220.883169944741
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-14.5581,2,55,0,4,57,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.7704,0,18,1,2,18,-13.117,-13.117,-1.3465,-1.3465
-8.8648,0,29,1,6,29,-19.8046,-19.8046,-10.9398,-10.9398
-12.3061,5,11,2,4,16,-16.4933,-17.1809933015518,-4.1872,-4.87489330155184
-464.5552,0,47,3,4,47,-13.6524,-14.4927331158929,450.9028,450.062470713626
NaN,NaN,8,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-13.1765,0,40,0,1,40,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.4144,0,12,1,0,12,-11.662,-11.662,-0.24759,-0.24759
-13.1625,2,33,1,4,35,-17.4412,-17.4412,-4.2786,-4.2786
-16.4009,0,83,1,1,83,-14.4269,-14.4269,1.9739,1.9739
-8.2448,0,7,0,0,7,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.8315,1,12,1,2,13,-15.6266,-15.6266,-4.7951,-4.7951
-6.2211,0,11,0,3,11,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.4133,0,12,0,0,12,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.2148,0,81,1,4,81,-16.0577,-16.0577,-6.8429,-6.8429
-464.5552,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.3627,0,31,1,4,31,-13.1634,-13.1634,-0.80066,-0.80066
-694.8137,0,40,1,3,40,-15.6028,-15.6028,679.2109,679.2109
-12.95,0,34,3,8,34,-14.2867,-15.1783715736236,-1.3367,-2.22837157362356
-4.0382,0,50,3,5,50,-10.8333,-11.8978568851877,-6.7951,-7.85965688518772
-10.0579,0,10,1,3,10,-18.5451,-18.5451,-8.4872,-8.4872
-10.2139,0,1,0,0,1,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-15.5663,0,21,3,4,21,-11.1516,-11.762351481641,4.4147,3.80394851835901
-12.2667,0,16,0,1,16,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.9443,0,38,4,6,38,-12.4673,-13.6482860970471,-2.523,-3.70400465666849
-11.4362,0,42,0,2,42,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,2,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-10.8159,0,18,3,6,18,-11.89,-12.9846098401029,-1.0741,-2.16870988137034
-694.8137,0,61,1,3,61,-15.9989,-15.9989,678.8149,678.8149
-13.2659,0,26,0,1,26,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-7.5345,0,20,3,6,20,-11.7917,-12.8602004187468,-4.2571,-5.32560338490528
-9.4792,0,40,4,7,40,-12.6683,-13.9134861613327,-3.189,-4.4341942881944
-14.9889,1,21,2,4,22,-13.4293,-14.0917440556375,1.5596,0.897155944362502
-14.8155,0,8,1,0,8,-10.4477,-10.4477,4.3678,4.3678
-8.0175,1,13,0,0,14,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.9409,0,11,1,3,11,-16.1631,-16.1631,-4.2222,-4.2222
-16.3913,0,56,5,6,56,-13.3436,-14.1801405757695,3.0477,2.21115895144665
-15.2351,0,95,1,3,95,-19.753,-19.753,-4.5178,-4.5178
-10.9521,0,9,2,0,9,-11.1659,-11.8566209425475,-0.21383,-0.904550869847535
-10.8933,1,6,1,0,7,-17.7027,-17.7027,-6.8094,-6.8094
-11.5773,0,33,1,5,33,-14.5565,-14.5565,-2.9792,-2.9792
-10.4735,0,19,0,0,19,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,27,1,4,27,-18.0508,-18.0508,676.7629,676.7629
NaN,NaN,5,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-234.2967,0,12,1,4,12,-12.6264,-13.9188842813547,451.9288,450.611361748022
-464.5552,0,6,3,0,6,-12.6264,-13.6561628331169,451.9288,450.899043820474
-13.3032,0,35,2,3,35,-14.8633,-15.5058177143875,-1.5602,-2.20271277723747
-10.4653,0,42,1,3,42,-12.1419,-12.1419,-1.6765,-1.6765
-12.9823,0,14,3,0,14,-13.9995,-14.8932282422991,-1.0172,-1.91092824229908
-10.3577,0,23,2,4,23,-12.3582,-12.9094810631462,-2.0005,-2.55176783631467
-12.1326,0,9,2,0,9,-8.157,-9.23408009103248,450.9305,449.831887711332
-464.5552,0,17,1,3,17,-13.6247,-13.6247,450.9305,450.9305
-13.4636,0,32,1,2,32,-15.2028,-15.2028,-1.7392,-1.7392
-16.5138,0,6,0,0,6,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,5,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,56,0,3,56,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.7458,0,27,2,5,27,-15.4583,-15.4989870470078,-0.71249,-0.753210592982701
-10.1762,0,4,1,0,4,-12.592,-12.592,-2.4158,-2.4158
-13.7406,0,41,1,4,41,-16.2016,-16.2016,-2.461,-2.461
-16.9651,1,6,0,0,7,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-16.1147,1,35,0,1,36,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.8431,0,37,1,3,37,-13.1959,-13.1959,1.6473,1.6473
-14.2999,1,25,2,4,26,-14.1606,-14.884049386476,-0.71032,-1.40563148721232
-12.6112,0,2,1,0,2,-14.1606,-14.1606,-1.5494,-1.5494
-9.4337,0,39,1,2,39,-14.9661,-14.9661,-5.5324,-5.5324
-9.1414,0,14,1,1,14,-16.9833,-16.9833,-7.842,-7.842
-12.2257,0,38,1,2,38,-9.1768,-9.1768,3.0489,3.0489
-9.9793,0,2,0,0,2,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.9348,0,6,2,0,6,-15.2204,-15.5933359134432,-2.2857,-2.65860851201274
-14.831,0,7,2,0,7,-11.6788,-12.3174694100821,3.1522,2.51353058991793
-13.4022,0,28,2,2,28,-12.4624,-13.1521519991027,0.93987,0.250117763645839
-9.3118,0,34,3,7,34,-10.2982,-11.6597874132619,683.3726,681.688239243287
-694.8137,0,37,3,6,37,-11.4411,-12.4323135761531,683.3726,682.381386423847
-9.2927,0,31,1,3,31,-16.4383,-16.4383,-7.1456,-7.1456
-14.6629,0,15,0,3,15,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.5516,0,5,1,2,5,-13.8887,-13.8887,-3.3371,-3.3371
-12.1026,0,23,1,5,23,-17.092,-17.092,-4.9895,-4.9895
-9.3653,0,44,3,4,44,-12.8547,-13.9286972225354,-3.4895,-4.56349605347009
NaN,NaN,10,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-15.8381,2,10,3,0,12,-8.8689,-9.95584997294563,6.9692,5.88224974676759
NaN,NaN,8,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,9,1,0,9,-17.8805,-17.8805,446.6747,446.6747
NaN,NaN,11,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-13.4529,0,29,2,3,29,-11.5025,-12.1952445943508,1.9504,1.25765540564919
-694.8137,0,49,0,1,49,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.0553,0,58,2,5,58,-12.9753,-13.6587077600849,-0.92002,-1.60342756624007
-9.7624,0,7,3,0,7,-13.5506,-14.3295733680164,-3.7883,-4.56724600815093
-9.4037,0,8,1,0,8,-16.3113,-16.3113,-6.9076,-6.9076
-10.8706,1,24,0,2,25,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-8.4875,0,2,0,0,2,-15.7402,-15.7402,0.50966,0.50966
-16.2499,0,5,1,0,5,-15.7402,-15.7402,0.50966,0.50966
-234.2967,0,61,0,4,61,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,21,3,7,21,-16.429,-17.3106889960371,448.1262,447.244522072331
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-10.1922,0,36,0,1,36,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.0855,0,32,1,2,32,-17.7789,-17.7789,-3.6934,-3.6934
-234.2967,0,1,0,0,1,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,4,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-8.3199,0,17,2,4,17,-12.3013,-12.987457335983,-3.9813,-4.66745803249561
-234.2967,0,42,1,5,42,-12.3488,-12.3488,221.948,221.948
-11.4328,1,29,2,5,30,-13.9592,-14.1971107473446,-2.5265,-2.76441074734459
-11.0037,0,26,1,1,26,-11.7447,-11.7447,-0.74095,-0.74095
-10.0874,0,8,1,1,8,-12.7594,-12.7594,-2.672,-2.672
NaN,NaN,3,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,7,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,10,1,0,10,-10.7569,-10.7569,453.7984,453.7984
-11.8213,0,31,1,2,31,-12.5408,-12.5408,-0.71952,-0.71952
