,Gene Name,DTT Fold Change,DTT Intensity (Median),DTT Localization,DTT STD,Description,H2O2 Fold Change,H2O2 Intensity (Median),H2O2 Localization,H2O2 STD,MA3 Fold Change,MA3 Intensity (Median),MA3 Localization,MA3 STD,N' NATIVEpr-GFP in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' NOP1pr-GFP in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' TEF2pr-mCherry in SD Localization,ORF,Pup2 DAmP Localization,SD Intensity (Median),SD Localization,SD STD,Significance of DTT Intensity (Median) Change,Significance of H2O2 Intensity (Median) Change,Significance of MA3 Intensity (Median) Change,Significance of Starvation Intensity (Median) Change,Starvation Fold Change,Starvation Intensity (Median),Starvation Localization,Starvation STD
152,ALG7,,,,,,,,,,,,,,30.55,ER,113.11,ER,39.36,ER,167.17,ER,YBR243C,,,,,,,,,,,,
153,ALG8,0.8,15.18,cytosol,4.54,"Glucosyl transferase, involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p",0.92,17.39,cytosol,3.55,0.87,16.38,below threshold,1.84,34.35,ER,107.68,ER,41.2,ER,113.92,ER,YOR067C,below threshold,18.81,below threshold,4.96,0.0,0.0,0.0,0.0,0.89,16.86,cytosol,
154,ALG9,0.48,20.58,ER,8.79,"Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of mannose from Dol-P-Man to lipid-linked oligosaccharides; mutation of the human ortholog causes type 1 congenital disorders of glycosylation",0.86,36.26,ER,9.15,0.9,38.04,ER,6.93,35.9,ER,72.76,ER,24.64,,10.09,ER,YNL219C,ER,42.09,ER,10.94,-1.0,0.0,0.0,0.0,1.1,46.57,ER,
155,ALK1,,,cytosol,,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk2p and to mammalian haspins,,,cytosol,,,,cytosol,,17.28,below threshold,23.6,cytosol,23.46,,7.02,below threshold,YGL021W,cytosol,24.5,cytosol,6.54,0.0,0.0,0.0,,,,cytosol,
156,ALK2,,,cytosol,,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk1p and to mammalian haspins,,,cytosol,,,,below threshold,,18.64,below threshold,43.24,"cytosol,nucleus",25.01,below threshold,12.11,below threshold,YBL009W,below threshold,17.57,below threshold,4.91,0.0,0.0,0.0,,,,cytosol,
157,ALO1,1.03,101.49,mitochondria,48.14,"D-Arabinono-1,4-lactone oxidase, catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress",1.21,119.44,mitochondria,31.73,1.04,102.58,mitochondria,21.91,41.1,mitochondria,169.07,mitochondria,0.0,,214.77,mitochondria,YML086C,mitochondria,98.3,mitochondria,32.84,0.0,0.0,0.0,0.0,1.29,127.03,mitochondria,
158,ALP1,,,,,,,,,,,,,,17.84,below threshold,67.03,ER,33.01,ambigous,19.56,ER,YNL270C,,,,,,,,,,,,
159,ALR1,0.92,15.68,cytosol,6.2,"Plasma membrane Mg(2+) transporter, expression and turnover are regulated by Mg(2+) concentration; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions",1.01,17.1,cytosol,2.23,0.93,15.74,below threshold,2.12,24.6,"cell periphery,punctate",88.07,cell periphery,41.74,"cell periphery,punctate",92.36,"cell periphery,vacuole",YOL130W,below threshold,16.87,below threshold,4.69,0.0,0.0,0.0,0.0,1.11,18.83,cytosol,
160,ALR2,0.95,14.3,cytosol,5.15,Probable Mg(2+) transporter; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions; plays a role in regulating Ty1 transposition,1.07,16.11,cytosol,2.58,1.02,15.36,below threshold,2.31,19.14,below threshold,54.66,"cell periphery,punctate",28.85,below threshold,71.33,"cell periphery,vacuole",YFL050C,below threshold,14.99,below threshold,4.14,0.0,0.0,0.0,0.0,1.1,16.53,cytosol,
161,ALT1,1.12,16.16,cytosol,5.27,"Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthetic and catabolic processes; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.82,11.87,cytosol,2.67,1.08,15.53,below threshold,2.51,39.11,"punctate,nucleus,mitochondria",146.14,mitochondria,71.07,,168.68,mitochondria,YLR089C,below threshold,14.33,below threshold,3.31,0.0,0.0,0.0,0.0,1.64,23.54,cytosol,
162,ALT2,0.65,20.63,cytosol,7.55,Putative alanine transaminase (glutamic pyruvic transaminase),0.9,28.5,cytosol,5.88,1.06,33.24,cytosol,5.24,31.12,cytosol,88.55,cytosol,50.23,cytosol,124.25,cytosol,YDR111C,punctate,31.44,cytosol,6.91,0.0,0.0,0.0,0.0,0.42,13.44,cytosol,
163,ALY1,1.08,24.6,cytosol,8.77,Protein proposed to regulate the endocytosis of plasma membrane proteins by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,0.99,22.6,cytosol,5.01,0.91,20.67,cytosol,2.08,19.45,below threshold,52.45,cytosol,39.78,"cytosol,punctate",55.89,cytosol,YKR021W,cytosol,22.77,cytosol,4.96,0.0,0.0,0.0,,,,punctate,
164,ALY2,1.06,30.88,cytosol,8.83,"Protein proposed to regulate the endocytosis of plasma membrane proteins; interacts with the cyclin Pcl7p and ubiquitin ligase Rsp5p; phosphorylated by the cyclin-CDK complex, Pcl7p-Pho85p; mRNA is cell cycle regulated, peaking in M phase",1.17,33.99,cytosol,6.17,1.19,34.25,cytosol,3.96,21.09,below threshold,51.93,cytosol,39.0,cytosol,39.76,cytosol,YJL084C,cytosol,28.89,cytosol,5.8,0.0,0.0,0.0,0.0,1.02,29.67,cytosol,
165,AMA1,1.08,17.58,cytosol,6.1,Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis,1.07,17.47,cytosol,3.48,1.06,17.2,below threshold,2.71,17.51,cytosol,33.0,cytosol,0.0,,7.61,below threshold,YGR225W,below threshold,16.18,below threshold,3.06,0.0,0.0,0.0,0.0,1.01,16.47,cytosol,
166,AMD1,1.11,61.07,cytosol,24.2,"AMP deaminase, tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia; may be involved in regulation of intracellular adenine nucleotide pools",1.03,56.73,cytosol,9.54,0.93,51.24,cytosol,7.55,52.79,cytosol,120.18,cytosol,0.0,,172.62,cytosol,YML035C,cytosol,54.82,cytosol,15.37,0.0,0.0,0.0,1.0,1.34,73.94,cytosol,
167,AMD2,1.14,19.9,cytosol,6.78,Putative amidase,0.9,15.69,cytosol,3.61,1.09,18.97,below threshold,3.97,19.17,below threshold,77.82,cytosol,0.0,,135.34,cytosol,YDR242W,below threshold,17.34,below threshold,3.79,0.0,0.0,0.0,0.0,1.54,26.87,cytosol,
168,AME1,0.93,16.25,cytosol,4.84,"Essential kinetochore protein associated with microtubules and spindle pole bodies; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance",0.97,16.96,cytosol,3.02,1.07,18.7,below threshold,5.59,23.86,punctate,30.92,punctate,26.99,below threshold,15.12,punctate,YBR211C,below threshold,17.44,below threshold,5.18,0.0,0.0,0.0,0.0,0.89,15.67,cytosol,
169,AMF1,,,,,Putative protein of unknown function; belongs to the DHA2 family of drug:H+ antiporters; YOR378W is not an essential gene,,,,,,,,,19.11,below threshold,52.71,cell periphery,35.18,"cell periphery,punctate",82.11,"cell periphery,vacuole",YOR378W,,,,,,,,,,,,
170,AML1,,,,,,,,,,,,,,,,,,,,,,YGR001C,,13.9,below threshold,3.34,,,,,,,,
171,AMN1,0.86,16.75,cytosol,6.16,"Protein required for daughter cell separation, multiple mitotic checkpoints, and chromosome stability; contains 12 degenerate leucine-rich repeat motifs; expression is induced by the Mitotic Exit Network (MEN)",0.9,17.6,cytosol,4.18,1.03,19.97,cytosol,3.65,22.77,"punctate,nucleus",24.01,nucleus,23.17,,5.21,below threshold,YBR158W,cytosol,19.46,cytosol,5.15,0.0,0.0,0.0,0.0,0.78,15.32,cytosol,
172,AMS1,1.74,33.5,punctate,16.48,"Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway",1.05,20.18,punctate,4.09,0.79,15.17,punctate,1.95,37.75,punctate,144.51,"cytosol,punctate",67.1,cytosol,206.46,punctate,YGL156W,punctate,19.16,punctate,5.4,0.0,0.0,0.0,0.0,2.06,39.65,punctate,
173,ANB1,0.76,20.24,cytosol,8.82,"Translation elongation factor eIF-5A, previously thought to function in translation initiation; similar to and functionally redundant with Hyp2p; undergoes an essential hypusination modification; expressed under anaerobic conditions",0.8,21.38,cytosol,4.21,0.95,25.18,cytosol,4.27,25.09,below threshold,455.67,cytosol,88.53,cytosol,701.4,cytosol,YJR047C,cytosol,26.44,cytosol,6.79,0.0,0.0,0.0,0.0,0.69,18.26,cytosol,
174,ANP1,0.65,16.76,punctate,5.6,"Subunit of the alpha-1,6 mannosyltransferase complex; type II membrane protein; has a role in retention of glycosyltransferases in the Golgi; involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol",0.81,20.8,punctate,4.79,0.84,21.34,punctate,2.61,26.7,punctate,60.04,punctate,27.01,below threshold,38.8,punctate,YEL036C,punctate,25.47,punctate,7.49,-1.0,0.0,0.0,-1.0,0.72,18.46,punctate,
175,ANR2,1.12,24.71,cytosol,7.7,"Putative protein of unknown function, predicted to be palmitoylated; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",0.92,20.17,cytosol,3.16,1.2,26.31,cytosol,4.32,29.41,ER,77.05,ER,37.8,ER,114.75,ER,YKL047W,cytosol,21.89,cytosol,4.03,0.0,0.0,0.0,0.0,0.74,16.39,cytosol,
176,ANS1,,,,,,,,,,,,,,19.14,below threshold,27.58,vacuole,23.8,,0.0,missing,YHR126C,,,,,,,,,,,,
177,ANT1,0.88,18.72,punctate,7.93,Peroxisomal adenine nucleotide transporter; involved in beta-oxidation of medium-chain fatty acid; required for peroxisome proliferation,1.01,21.6,punctate,4.33,0.81,17.27,punctate,4.97,27.99,punctate,145.32,punctate,27.18,punctate,73.21,"punctate,mitochondria",YPR128C,punctate,21.19,punctate,5.8,0.0,0.0,0.0,-1.0,0.83,17.63,punctate,
178,ANY1,,,,,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR010W is not an essential gene; YMR010W mRNA is transcribed with ADI1,,,,,,,,,30.52,nuclear periphery,110.16,ER,44.02,ER,203.76,ER,YMR010W,,,,,,,,,,,,
179,AOS1,,,,,,,,,,,,,,37.59,nucleus,106.81,"cytosol,nucleus",38.2,nucleus,45.76,"cytosol,nucleus",YPR180W,,,,,,,,,,,,
180,APA1,1.01,127.36,cytosol,44.31,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa2p",1.22,154.27,cytosol,26.44,1.36,170.79,cytosol,41.29,,missing,21.02,cytosol,79.48,cytosol,52.76,missing,YCL050C,cytosol,125.81,cytosol,33.31,0.0,0.0,0.0,,,,nucleus,
181,APA2,1.1,27.21,cytosol,9.19,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase II (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa1p",0.91,22.47,cytosol,4.5,1.11,27.22,cytosol,4.8,29.05,cytosol,213.24,cytosol,0.0,,8.77,cytosol,YDR530C,cytosol,24.53,cytosol,6.63,0.0,0.0,0.0,0.0,0.98,24.16,cytosol,
182,APC1,,,punctate,,"Largest subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",1.06,20.27,nucleus,3.9,1.18,22.38,nucleus,3.41,21.63,nucleus,46.69,cytosol,29.98,cytosol,19.77,below threshold,YNL172W,nucleus,18.96,nucleus,4.2,0.0,0.0,0.0,0.0,0.89,16.94,nucleus,
183,APC11,,,,,,,,,,,,,,33.86,cytosol,93.51,cytosol,33.4,cytosol,90.26,nucleus,YDL008W,,,,,,,,,,,,
184,APC2,1.03,19.87,nucleus,6.99,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; similar to cullin Cdc53p",0.99,19.13,nucleus,3.47,1.03,19.69,nucleus,3.17,19.39,below threshold,32.83,"punctate,nucleus",25.62,below threshold,12.41,"punctate,nucleus",YLR127C,nucleus,19.15,nucleus,5.45,0.0,0.0,0.0,0.0,0.95,18.24,nucleus,
185,APC4,,,punctate,,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",1.09,23.73,nucleus,4.08,1.09,23.49,nucleus,2.73,,missing,34.12,"cytosol,nucleus",28.27,,0.0,missing,YDR118W,nucleus,21.62,nucleus,4.54,0.0,0.0,0.0,-1.0,0.82,17.76,nucleus,
186,APC5,1.04,17.36,cytosol,5.89,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",1.08,18.1,cytosol,3.66,1.22,20.25,below threshold,3.36,23.48,"punctate,nucleus",35.2,nucleus,0.0,,17.49,nucleus,YOR249C,below threshold,16.61,below threshold,3.64,0.0,0.0,0.0,0.0,0.88,14.73,cytosol,
187,APC9,1.05,18.0,cytosol,5.45,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",1.0,17.24,cytosol,3.36,1.01,17.34,below threshold,2.31,24.88,"punctate,nucleus",46.5,"cytosol,nucleus",0.0,,18.28,"punctate,nucleus",YLR102C,below threshold,17.11,below threshold,4.07,0.0,0.0,0.0,0.0,1.09,18.8,cytosol,
188,APD1,,,cytosol,,"Protein of unknown function, required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus",,,cytosol,,,,cytosol,,40.13,cytosol,98.5,cytosol,,,187.17,cytosol,YBR151W,cytosol,37.29,cytosol,9.37,0.0,0.0,0.0,,,,technical problem,
189,APE2,,,,,,,,,,,,,,,,,,,,,,YKL157W,,16.75,below threshold,3.77,,,,,,,,
190,APE3,1.05,16.96,cytosol,5.62,"Vacuolar aminopeptidase Y, processed to mature form by Prb1p",1.0,16.07,cytosol,2.91,1.1,17.58,below threshold,3.01,96.33,cytosol,113.38,"ER,vacuole",39.09,,42.88,vacuole,YBR286W,below threshold,16.03,below threshold,5.5,0.0,0.0,0.0,0.0,1.02,16.46,cytosol,
191,APE4,,,,,Cytoplasmic aspartyl aminopeptidase; cleaves unblocked N-terminal acidic amino acid residues from peptide substrates; forms a 12 subunit homo-oligomeric complex; M18 metalloprotease family member; may interact with ribosomes,,,,,,,,,27.49,punctate,211.23,"cytosol,punctate",0.0,,0.0,vacuole,YHR113W,,,,,,,,,,,,
192,API2,,,,,,,,,,,,,,,,,,,,,,YDR525W,,14.3,below threshold,3.65,,,,,,,,
193,APJ1,1.04,21.9,nucleus,6.76,"Putative chaperone of the HSP40 (DNAJ) family; overexpression interferes with propagation of the [Psi+] prion; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.94,19.68,nucleus,4.76,0.96,20.09,nucleus,2.23,24.6,nucleus,54.52,"punctate,nucleus",26.18,nucleus,47.43,"punctate,nucleus",YNL077W,nucleus,20.87,nucleus,4.82,0.0,0.0,0.0,0.0,0.86,18.02,nucleus,
194,APL1,1.07,36.78,bud neck,10.66,"Beta-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport; similar to mammalian beta-chain of the clathrin associated protein complex",0.92,31.62,bud neck,6.04,0.75,25.53,bud neck,5.66,26.53,bud neck,29.04,"punctate,bud neck,nucleus",24.95,below threshold,12.53,"bud neck,nucleus",YJR005W,bud neck,,bud neck,9.99,0.0,0.0,0.0,0.0,1.09,37.55,bud neck,
195,APL2,1.14,18.37,cytosol,5.55,"Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting",1.15,18.62,cytosol,2.83,1.24,19.96,below threshold,3.52,35.51,punctate,93.87,"cytosol,punctate",30.83,cytosol,103.81,cytosol,YKL135C,below threshold,16.06,below threshold,3.55,0.0,0.0,0.0,0.0,0.96,15.48,cytosol,
196,APL3,0.97,28.43,"cell periphery, bud neck",7.61,"Alpha-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport",1.05,30.97,"cell periphery, bud neck",5.96,0.91,26.76,"cell periphery, bud neck",4.1,26.46,bud neck,60.14,"punctate,bud neck",28.77,below threshold,32.41,"punctate,bud neck",YBL037W,"cell periphery, bud neck",,"cell periphery, bud neck",7.79,0.0,0.0,0.0,,,,punctate,
197,APL4,1.08,18.46,cytosol,7.01,"Gamma-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in vesicle mediated transport",0.92,15.74,cytosol,3.89,1.04,17.55,below threshold,2.36,34.62,punctate,72.66,"cytosol,punctate",32.16,cytosol,66.2,"cytosol,punctate",YPR029C,below threshold,16.93,below threshold,4.39,0.0,0.0,0.0,0.0,0.93,15.8,cytosol,
198,APL5,1.04,41.86,punctate,12.02,"Delta adaptin-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the alternate pathway, suppressor of loss of casein kinase 1 function",0.87,35.17,punctate,7.24,1.12,44.88,punctate,11.42,26.73,punctate,66.59,punctate,27.98,below threshold,16.11,punctate,YPL195W,punctate,40.03,punctate,11.36,0.0,0.0,0.0,0.0,0.94,38.01,punctate,
199,APL6,0.83,31.27,punctate,8.94,Beta3-like subunit of the yeast AP-3 complex; functions in transport of alkaline phosphatase to the vacuole via the alternate pathway; exists in both cytosolic and peripherally associated membrane-bound pools,1.05,39.65,punctate,5.98,0.8,29.9,punctate,3.5,33.24,punctate,89.12,"cytosol,punctate",28.93,cytosol,75.37,"cytosol,punctate",YGR261C,punctate,37.49,punctate,7.88,0.0,0.0,0.0,0.0,0.96,36.37,punctate,
200,APM1,,,,,,,,,,,,,,36.42,punctate,59.3,punctate,32.74,cytosol,53.51,punctate,YPL259C,,,,,,,,,,,,
201,APM2,1.02,18.28,punctate,4.37,"Protein of unknown function, homologous to the medium chain of mammalian clathrin-associated protein complex; involved in vesicular transport",1.1,19.65,punctate,4.17,0.89,15.86,punctate,1.93,18.23,below threshold,39.21,vacuole,29.15,cytosol,48.52,nucleus,YHL019C,punctate,17.8,punctate,4.75,0.0,0.0,0.0,0.0,1.26,22.5,punctate,
202,APM3,1.06,32.81,punctate,10.66,Mu3-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the alternate pathway,1.06,32.54,punctate,5.18,0.92,28.35,punctate,3.34,29.14,punctate,53.36,punctate,30.67,cytosol,63.44,"cytosol,punctate",YBR288C,punctate,30.67,punctate,7.62,0.0,0.0,0.0,-1.0,0.64,19.92,punctate,
203,APM4,1.09,17.07,cytosol,4.84,Mu2-like subunit of the clathrin associated protein complex (AP-2); involved in vesicle transport,0.96,15.0,cytosol,3.11,1.02,15.86,below threshold,1.75,23.11,"punctate,bud neck",83.91,cytosol,45.37,cytosol,86.52,cytosol,YOL062C,below threshold,15.52,below threshold,4.51,0.0,0.0,0.0,0.0,1.18,18.4,cytosol,
204,APN1,1.2,31.97,nucleus,11.31,"Major apurinic/apyrimidinic endonuclease, 3'-repair diesterase involved in repair of DNA damage by oxidation and alkylating agents; also functions as a 3'-5' exonuclease to repair 7,8-dihydro-8-oxodeoxyguanosine",1.22,32.54,nucleus,7.23,1.05,27.99,nucleus,5.65,28.14,nucleus,190.82,"nucleus,nucleolus",47.1,nucleus,45.9,"nucleus,nucleolus",YKL114C,nucleus,26.54,nucleus,8.29,0.0,0.0,0.0,1.0,1.7,45.29,nucleus,
205,APN2,1.08,18.04,cytosol,6.75,Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII,0.89,15.03,cytosol,2.39,1.17,19.48,below threshold,2.14,20.3,mitochondria,70.85,nucleus,31.28,nucleus,73.41,nucleus,YBL019W,below threshold,16.7,below threshold,3.31,0.0,0.0,0.0,0.0,0.77,12.95,cytosol,
206,APP1,,,cytosol,,"Protein of unknown function, interacts with Rvs161p and Rvs167p; computational analysis of protein-protein interactions in large-scale studies suggests a possible role in actin filament organization",1.01,21.83,cytosol,3.34,1.25,26.91,cytosol,2.86,22.03,below threshold,71.74,"punctate,bud",38.29,punctate,83.58,"punctate,bud neck",YNL094W,cytosol,21.58,cytosol,4.63,0.0,0.0,0.0,0.0,0.81,17.65,cytosol,
207,APQ12,,,,,,,,,,,,,,22.69,ER,57.99,ER,24.31,below threshold,68.63,"ER,punctate",YIL040W,,,,,,,,,,,,
208,APS1,,,,,,,,,,,,,,42.46,punctate,66.23,punctate,26.52,below threshold,37.19,punctate,YLR170C,,,,,,,,,,,,
209,APS2,1.03,17.87,cytosol,5.19,"Small subunit of the clathrin-associated adaptor complex AP-2, which is involved in protein sorting at the plasma membrane; related to the sigma subunit of the mammalian plasma membrane clathrin-associated protein (AP-2) complex",1.04,18.1,cytosol,3.18,0.9,15.59,below threshold,3.04,15.82,missing,40.47,"punctate,bud neck,nucleus",24.05,below threshold,17.05,"punctate,bud neck,nucleus",YJR058C,below threshold,17.32,below threshold,3.82,0.0,0.0,0.0,0.0,0.97,16.85,cytosol,
210,APS3,1.08,17.53,punctate,6.05,"Small subunit of the clathrin-associated adaptor complex AP-3, which is involved in vacuolar protein sorting; related to the sigma subunit of the mammalian clathrin AP-3 complex; suppressor of loss of casein kinase 1 function",0.9,14.53,punctate,3.02,0.95,15.38,punctate,2.79,33.53,punctate,77.53,"cytosol,punctate",24.91,below threshold,59.22,"cytosol,punctate",YJL024C,punctate,16.13,punctate,5.18,0.0,0.0,0.0,0.0,1.04,16.8,punctate,
211,APT1,0.56,62.18,cytosol,27.59,"Adenine phosphoribosyltransferase, catalyzes the formation of AMP from adenine and 5-phosphoribosylpyrophosphate; involved in the salvage pathway of purine nucleotide biosynthesis",0.87,97.24,cytosol,18.84,0.81,89.32,cytosol,15.97,79.18,cytosol,284.16,cytosol,0.0,,165.36,cytosol,YML022W,cytosol,110.53,cytosol,26.65,-1.0,0.0,0.0,0.0,0.39,43.62,cytosol,
212,APT2,,,,,,,,,,,,,,,,,,,,,,YDR441C,,30.22,cytosol,7.67,,,,,,,,
213,AQR1,0.56,19.47,cell periphery,7.26,"Plasma membrane multidrug transporter of the major facilitator superfamily, confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids",,,punctate,,0.76,26.25,cell periphery,5.7,21.15,punctate,31.14,"cell periphery,punctate",25.22,below threshold,25.01,"cell periphery,vacuole",YNL065W,cell periphery,34.65,cell periphery,11.67,-1.0,0.0,0.0,,,,vacuole,
214,AQY1,1.04,14.63,cytosol,5.07,"Spore-specific water channel that mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance",0.94,13.27,cytosol,2.5,0.98,13.71,below threshold,1.82,19.07,below threshold,212.16,ER,49.13,ER,144.37,ER,YPR192W,below threshold,13.98,below threshold,3.47,0.0,0.0,0.0,0.0,1.02,14.4,cytosol,
215,AQY2,,,,,,,,,,,,,,22.03,below threshold,40.75,cytosol,23.78,below threshold,11.05,ambiguous,YLL052C,,,,,,,,,,,,
216,AQY3,,,,,,,,,,,,,,16.52,below threshold,58.51,"cell periphery,punctate",33.94,"cell periphery,punctate",70.76,"cell periphery,vacuole",YFL054C,,,,,,,,,,,,
217,ARA1,1.41,109.31,cytosol,59.32,"NADP+ dependent arabinose dehydrogenase, involved in carbohydrate metabolism; purified as homodimer; naturally occurs with a N-terminus degradation product",,,nucleus,,1.16,89.66,cytosol,21.28,70.31,cytosol,308.38,cytosol,75.49,cytosol,341.67,cytosol,YBR149W,cytosol,77.35,cytosol,38.56,1.0,0.0,0.0,,,,nucleus,
218,ARA2,1.2,20.26,cytosol,8.0,"NAD-dependent arabinose dehydrogenase, involved in biosynthesis of dehydro-D-arabinono-1,4-lactone; similar to plant L-galactose dehydrogenase",1.21,20.42,cytosol,4.54,1.07,17.86,below threshold,3.11,27.4,cytosol,131.2,cytosol,71.08,cytosol,230.09,cytosol,YMR041C,below threshold,16.76,below threshold,4.78,0.0,0.0,0.0,0.0,1.99,33.42,cytosol,
219,ARB1,1.09,17.12,cytosol,5.12,"ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p",1.03,16.12,cytosol,3.52,1.09,17.11,below threshold,3.19,178.72,cytosol,311.14,cytosol,89.51,cytosol,348.28,"cell periphery,vacuole",YER036C,below threshold,15.63,below threshold,3.46,0.0,0.0,0.0,0.0,1.18,18.53,cytosol,
220,ARC1,0.93,275.25,cytosol,109.36,"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases (Mes1p and Gus1p), delivering tRNA to them, stimulating catalysis, and ensuring their localization to the cytoplasm; also binds quadruplex nucleic acids",1.06,311.99,cytosol,57.79,0.91,266.71,cytosol,57.41,171.84,cytosol,333.77,cytosol,81.3,cytosol,489.87,cytosol,YGL105W,cytosol,293.06,cytosol,78.46,0.0,0.0,0.0,1.0,1.54,451.36,cytosol,
221,ARC15,1.21,135.83,punctate,58.05,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches",0.7,78.91,punctate,20.77,0.85,94.65,punctate,16.25,19.53,below threshold,1128.22,"cytosol,punctate",,,53.62,cytosol,YIL062C,punctate,111.8,punctate,44.08,0.0,0.0,0.0,1.0,1.52,170.3,punctate,
222,ARC18,0.98,125.71,punctate,52.67,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches",0.71,91.37,punctate,20.57,,,punctate,,85.44,below threshold,186.49,"punctate,bud",0.0,,70.81,"punctate,bud neck",YLR370C,punctate,127.28,punctate,44.31,0.0,0.0,0.0,0.0,1.28,163.97,punctate,
223,ARC19,1.02,16.39,cytosol,6.04,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches",1.07,17.2,cytosol,3.34,1.06,16.95,below threshold,2.76,82.44,"punctate,bud neck",147.52,punctate,41.4,"punctate,bud neck",114.22,"punctate,bud neck",YKL013C,below threshold,16.02,below threshold,3.67,0.0,0.0,0.0,0.0,1.0,16.07,cytosol,
224,ARC35,,,,,,,,,,,,,,,missing,166.99,punctate,45.24,punctate,178.12,"punctate,bud neck",YNR035C,,,,,,,,,,,,
225,ARC40,0.87,15.05,cytosol,4.46,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches",1.09,18.91,cytosol,4.0,1.03,17.77,below threshold,3.12,67.03,"punctate,bud neck",288.08,"cytosol,punctate,bud",76.87,"cytosol,punctate,bud neck",419.67,"punctate,bud neck",YBR234C,below threshold,17.25,below threshold,4.12,0.0,0.0,0.0,0.0,1.38,23.89,cytosol,
